name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Alphonse Areola,€8.00m,Goalkeeper,"Feb 27, 1993 (30)",France,"1,95m",right,"Jul 1, 2022","Jun 30, 2027"
Lukasz Fabianski,€1.00m,Goalkeeper,"Apr 18, 1985 (37)",Poland,"1,90m",right,"Jul 1, 2018","Jun 30, 2023"
Nayef Aguerd,€32.00m,Centre-Back,"Mar 30, 1996 (27)",Morocco,"1,90m",left,"Jul 1, 2022","Jun 30, 2027"
Kurt Zouma,€28.00m,Centre-Back,"Oct 27, 1994 (28)",France,"1,90m",right,"Aug 28, 2021","Jun 30, 2025"
Thilo Kehrer,€18.00m,Centre-Back,"Sep 21, 1996 (26)",Germany,"1,86m",right,"Aug 17, 2022","Jun 30, 2026"
Angelo Ogbonna,€1.00m,Centre-Back,"May 23, 1988 (34)",Italy,"1,91m",left,"Jul 10, 2015","Jun 30, 2023"
Emerson,€12.00m,Left-Back,"Aug 3, 1994 (28)",Italy,"1,76m",left,"Aug 23, 2022","Jun 30, 2026"
Aaron Cresswell,€2.50m,Left-Back,"Dec 15, 1989 (33)",England,"1,70m",left,"Jul 3, 2014","Jun 30, 2023"
Ben Johnson,€12.00m,Right-Back,"Jan 24, 2000 (23)",England,"1,84m",right,"Jul 1, 2020","Jun 30, 2024"
Vladimir Coufal,€9.00m,Right-Back,"Aug 22, 1992 (30)",Czech Republic,"1,79m",right,"Oct 2, 2020","Jun 30, 2023"
Declan Rice,€80.00m,Defensive Midfield,"Jan 14, 1999 (24)",England,"1,88m",right,"Jul 1, 2017","Jun 30, 2024"
Tomas Soucek,€35.00m,Defensive Midfield,"Feb 27, 1995 (28)",Czech Republic,"1,92m",right,"Jul 27, 2020","Jun 30, 2024"
Flynn Downes,€8.00m,Central Midfield,"Jan 20, 1999 (24)",England,"1,78m",right,"Jul 7, 2022","Jun 30, 2027"
Lucas Paquetá,€45.00m,Attacking Midfield,"Aug 27, 1997 (25)",Brazil,"1,80m",left,"Aug 29, 2022","Jun 30, 2027"
Pablo Fornals,€25.00m,Attacking Midfield,"Feb 22, 1996 (27)",Spain,"1,78m",right,"Jul 1, 2019","Jun 30, 2024"
Manuel Lanzini,€8.00m,Attacking Midfield,"Feb 15, 1993 (30)",Argentina,"1,67m",right,"Jul 1, 2016","Jun 30, 2023"
Saïd Benrahma,€22.00m,Left Winger,"Aug 10, 1995 (27)",Algeria,"1,72m",right,"Jan 29, 2021","Jun 30, 2026"
Maxwel Cornet,€15.00m,Left Winger,"Sep 27, 1996 (26)",Cote d'Ivoire,"1,79m",left,"Aug 5, 2022","Jun 30, 2027"
Jarrod Bowen,€38.00m,Right Winger,"Dec 20, 1996 (26)",England,"1,82m",left,"Jan 31, 2020","Jun 30, 2025"
Gianluca Scamacca,€27.00m,Centre-Forward,"Jan 1, 1999 (24)",Italy,"1,95m",right,"Jul 26, 2022","Jun 30, 2027"
Danny Ings,€16.00m,Centre-Forward,"Jul 23, 1992 (30)",England,"1,77m",right,"Jan 20, 2023","Jun 30, 2025"
Michail Antonio,€9.00m,Centre-Forward,"Mar 28, 1990 (33)",Jamaica,"1,80m",right,"Sep 1, 2015","Jun 30, 2024"
