name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Danny Ward,€8.00m,Goalkeeper,"Jun 22, 1993 (29)",Wales,"1,91m",right,"Jul 20, 2018","Jun 30, 2025"
Daniel Iversen,€2.00m,Goalkeeper,"Jul 19, 1997 (25)",Denmark,"1,91m",,"Jul 1, 2020","Jun 30, 2025"
Alex Smithies,€600k,Goalkeeper,"Mar 5, 1990 (33)",England,"1,89m",right,"Aug 12, 2022","Jun 30, 2024"
Wout Faes,€20.00m,Centre-Back,"Apr 3, 1998 (25)",Belgium,"1,87m",right,"Sep 1, 2022","Jun 30, 2027"
Caglar Söyüncü,€15.00m,Centre-Back,"May 23, 1996 (26)",Turkey,"1,87m",right,"Aug 9, 2018","Jun 30, 2023"
Harry Souttar,€15.00m,Centre-Back,"Oct 22, 1998 (24)",Australia,"1,98m",right,"Jan 31, 2023","Jun 30, 2028"
Daniel Amartey,€15.00m,Centre-Back,"Dec 21, 1994 (28)",Ghana,"1,86m",right,"Jan 22, 2016","Jun 30, 2023"
Jannik Vestergaard,€5.00m,Centre-Back,"Aug 3, 1992 (30)",Denmark,"1,99m",both,"Aug 13, 2021","Jun 30, 2024"
Jonny Evans,€3.00m,Centre-Back,"Jan 3, 1988 (35)",Northern Ireland,"1,88m",both,"Jul 1, 2018","Jun 30, 2023"
Victor Kristiansen,€12.00m,Left-Back,"Dec 16, 2002 (20)",Denmark,"1,81m",left,"Jan 20, 2023","Jun 30, 2028"
Luke Thomas,€10.00m,Left-Back,"Jun 10, 2001 (21)",England,"1,81m",left,"Jul 1, 2020","Jun 30, 2024"
Ryan Bertrand,€1.00m,Left-Back,"Aug 5, 1989 (33)",England,"1,79m",left,"Jul 15, 2021","Jun 30, 2023"
Timothy Castagne,€28.00m,Right-Back,"Dec 5, 1995 (27)",Belgium,"1,85m",right,"Sep 3, 2020","Jun 30, 2025"
James Justin,€25.00m,Right-Back,"Feb 23, 1998 (25)",England,"1,83m",right,"Jul 1, 2019","Jun 30, 2026"
Ricardo Pereira,€12.00m,Right-Back,"Oct 6, 1993 (29)",Portugal,"1,75m",right,"Jul 1, 2018","Jun 30, 2026"
Wilfred Ndidi,€32.00m,Defensive Midfield,"Dec 16, 1996 (26)",Nigeria,"1,83m",right,"Jan 3, 2017","Jun 30, 2024"
Boubakary Soumaré,€20.00m,Defensive Midfield,"Feb 27, 1999 (24)",France,"1,88m",right,"Jul 2, 2021","Jun 30, 2026"
Nampalys Mendy,€3.50m,Defensive Midfield,"Jun 23, 1992 (30)",Senegal,"1,67m",right,"Jul 3, 2016","Jun 30, 2023"
Youri Tielemans,€30.00m,Central Midfield,"May 7, 1997 (25)",Belgium,"1,76m",right,"Jul 8, 2019","Jun 30, 2023"
Kiernan Dewsbury-Hall,€25.00m,Central Midfield,"Sep 6, 1998 (24)",England,"1,78m",left,"Jul 1, 2021","Jun 30, 2027"
Dennis Praet,€8.00m,Central Midfield,"May 14, 1994 (28)",Belgium,"1,81m",right,"Aug 8, 2019","Jun 30, 2024"
James Maddison,€55.00m,Attacking Midfield,"Nov 23, 1996 (26)",England,"1,75m",right,"Jul 1, 2018","Jun 30, 2024"
Harvey Barnes,€32.00m,Left Winger,"Dec 9, 1997 (25)",England,"1,82m",right,"Jul 1, 2018","Jun 30, 2025"
Tetê,€25.00m,Right Winger,"Feb 15, 2000 (23)",Brazil,"1,75m",left,"Jan 29, 2023","Jun 30, 2023"
Patson Daka,€20.00m,Centre-Forward,"Oct 9, 1998 (24)",Zambia,"1,83m",right,"Jul 1, 2021","Jun 30, 2026"
Kelechi Iheanacho,€17.00m,Centre-Forward,"Oct 3, 1996 (26)",Nigeria,"1,85m",left,"Aug 3, 2017","Jun 30, 2024"
Jamie Vardy,€4.00m,Centre-Forward,"Jan 11, 1987 (36)",England,"1,79m",right,"Jul 1, 2012","Jun 30, 2024"
