name,price,position,dob,nationality,height,foot,join_date,contract_expiration
David Raya,€25.00m,Goalkeeper,"Sep 15, 1995 (27)",Spain,"1,83m",right,"Jul 6, 2019","Jun 30, 2024"
Thomas Strakosha,€4.00m,Goalkeeper,"Mar 19, 1995 (28)",Albania,"1,93m",right,"Jul 14, 2022","Jun 30, 2026"
Matthew Cox,-,Goalkeeper,"May 2, 2003 (19)",England,-,,"Jul 1, 2022","Jun 30, 2028"
Kristoffer Ajer,€16.00m,Centre-Back,"Apr 17, 1998 (24)",Norway,"1,98m",right,"Jul 21, 2021","Jun 30, 2026"
Ethan Pinnock,€12.00m,Centre-Back,"May 29, 1993 (29)",Jamaica,"1,94m",left,"Jul 2, 2019","Jun 30, 2025"
Pontus Jansson,€5.00m,Centre-Back,"Feb 13, 1991 (32)",Sweden,"1,96m",right,"Jul 8, 2019","Jun 30, 2023"
Ben Mee,€1.80m,Centre-Back,"Sep 21, 1989 (33)",England,"1,80m",left,"Jul 22, 2022","Jun 30, 2024"
Zanka,€1.50m,Centre-Back,"Apr 23, 1990 (32)",Denmark,"1,89m",right,"Sep 9, 2021","Jun 30, 2023"
Rico Henry,€22.00m,Left-Back,"Jul 8, 1997 (25)",England,"1,70m",left,"Aug 31, 2016","Jun 30, 2026"
Aaron Hickey,€18.00m,Left-Back,"Jun 10, 2002 (20)",Scotland,"1,85m",both,"Jul 9, 2022","Jun 30, 2026"
Mads Roerslev,€2.20m,Right-Back,"Jun 24, 1999 (23)",Denmark,"1,84m",right,"Aug 7, 2019","Jun 30, 2026"
Fin Stevens,€400k,Right-Back,"Apr 10, 2003 (19)",Wales,"1,79m",right,"Jul 1, 2022","Jun 30, 2027"
Vitaly Janelt,€16.00m,Defensive Midfield,"May 10, 1998 (24)",Germany,"1,84m",left,"Oct 3, 2020","Jun 30, 2026"
Christian Nörgaard,€14.00m,Defensive Midfield,"Mar 10, 1994 (29)",Denmark,"1,87m",right,"Jul 1, 2019","Jun 30, 2025"
Mathias Jensen,€14.00m,Central Midfield,"Jan 1, 1996 (27)",Denmark,"1,80m",right,"Jul 10, 2019","Jun 30, 2026"
Josh Dasilva,€9.00m,Central Midfield,"Oct 23, 1998 (24)",England,"1,84m",left,"Aug 21, 2018","Jun 30, 2024"
Frank Onyeka,€9.00m,Central Midfield,"Jan 1, 1998 (25)",Nigeria,"1,83m",right,"Jul 20, 2021","Jun 30, 2026"
Shandon Baptiste,€3.00m,Central Midfield,"Apr 8, 1998 (24)",Grenada,"1,80m",right,"Jan 31, 2020","Jun 30, 2024"
Saman Ghoddos,€2.20m,Attacking Midfield,"Sep 6, 1993 (29)",Iran,"1,75m",right,"Jan 14, 2021","Jun 30, 2023"
Yoane Wissa,€15.00m,Left Winger,"Sep 3, 1996 (26)",DR Congo,"1,76m",right,"Aug 10, 2021","Jun 30, 2025"
Keane Lewis-Potter,€15.00m,Left Winger,"Feb 22, 2001 (22)",England,"1,70m",right,"Jul 12, 2022","Jun 30, 2028"
Mikkel Damsgaard,€15.00m,Left Winger,"Jul 3, 2000 (22)",Denmark,"1,80m",right,"Aug 10, 2022","Jun 30, 2027"
Bryan Mbeumo,€28.00m,Right Winger,"Aug 7, 1999 (23)",Cameroon,"1,71m",left,"Aug 5, 2019","Jun 30, 2026"
Kevin Schade,€20.00m,Right Winger,"Nov 27, 2001 (21)",Germany,"1,85m",right,"Jan 4, 2023","Jun 30, 2023"
Ivan Toney,€50.00m,Centre-Forward,"Mar 16, 1996 (27)",England,"1,85m",right,"Sep 1, 2020","Jun 30, 2025"
