name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Nick Pope,€18.00m,Goalkeeper,"Apr 19, 1992 (30)",England,"1,98m",right,"Jul 1, 2022","Jun 30, 2026"
Martin Dúbravka,€2.50m,Goalkeeper,"Jan 15, 1989 (34)",Slovakia,"1,91m",right,"Jul 1, 2018","Jun 30, 2025"
Loris Karius,€1.50m,Goalkeeper,"Jun 22, 1993 (29)",Germany,"1,91m",right,"Sep 12, 2022","Jun 30, 2023"
Mark Gillespie,€300k,Goalkeeper,"Mar 27, 1992 (30)",England,"1,91m",right,"Jul 3, 2020","Jun 30, 2023"
Sven Botman,€45.00m,Centre-Back,"Jan 12, 2000 (23)",Netherlands,"1,95m",left,"Jul 1, 2022","Jun 30, 2027"
Dan Burn,€12.00m,Centre-Back,"May 9, 1992 (30)",England,"2,01m",left,"Jan 31, 2022","Jun 30, 2024"
Fabian Schär,€10.00m,Centre-Back,"Dec 20, 1991 (31)",Switzerland,"1,86m",right,"Jul 26, 2018","Jun 30, 2024"
Jamaal Lascelles,€7.00m,Centre-Back,"Nov 11, 1993 (29)",England,"1,88m",right,"Aug 9, 2014","Jun 30, 2024"
Matt Targett,€15.00m,Left-Back,"Sep 18, 1995 (27)",England,"1,83m",left,"Jul 1, 2022","Jun 30, 2026"
Jamal Lewis,€8.00m,Left-Back,"Jan 25, 1998 (25)",Northern Ireland,"1,78m",left,"Sep 8, 2020","Jun 30, 2025"
Paul Dummett,€1.20m,Left-Back,"Sep 26, 1991 (31)",Wales,"1,83m",left,"Jul 1, 2012","Jun 30, 2023"
Kieran Trippier,€13.00m,Right-Back,"Sep 19, 1990 (32)",England,"1,73m",right,"Jan 7, 2022","Jun 30, 2025"
Emil Krafth,€4.00m,Right-Back,"Aug 2, 1994 (28)",Sweden,"1,84m",right,"Aug 8, 2019","Jun 30, 2024"
Javier Manquillo,€3.00m,Right-Back,"May 5, 1994 (28)",Spain,"1,78m",right,"Jul 21, 2017","Jun 30, 2024"
Harrison Ashby,€1.00m,Right-Back,"Nov 14, 2001 (21)",Scotland,"1,79m",right,"Jan 31, 2023",-
Bruno Guimarães,€60.00m,Defensive Midfield,"Nov 16, 1997 (25)",Brazil,"1,82m",right,"Jan 30, 2022","Jun 30, 2026"
Joe Willock,€30.00m,Central Midfield,"Aug 20, 1999 (23)",England,"1,86m",right,"Aug 13, 2021","Jun 30, 2027"
Sean Longstaff,€22.00m,Central Midfield,"Oct 30, 1997 (25)",England,"1,81m",right,"Jan 1, 2019","Jun 30, 2025"
Matty Longstaff,€1.50m,Central Midfield,"Mar 21, 2000 (22)",England,"1,71m",right,"Jul 1, 2019","Jun 30, 2023"
Matt Ritchie,€1.80m,Right Midfield,"Sep 10, 1989 (33)",Scotland,"1,73m",left,"Jul 1, 2016","Jun 30, 2023"
Joelinton,€38.00m,Attacking Midfield,"Aug 14, 1996 (26)",Brazil,"1,86m",right,"Jul 23, 2019","Jun 30, 2025"
Elliot Anderson,€3.50m,Attacking Midfield,"Nov 6, 2002 (20)",Scotland,"1,79m",right,"Jul 1, 2022","Jun 30, 2026"
Anthony Gordon,€40.00m,Left Winger,"Feb 24, 2001 (22)",England,"1,82m",right,"Jan 29, 2023",-
Allan Saint-Maximin,€35.00m,Left Winger,"Mar 12, 1997 (26)",France,"1,73m",right,"Aug 2, 2019","Jun 30, 2026"
Ryan Fraser,€8.00m,Left Winger,"Feb 24, 1994 (29)",Scotland,"1,63m",right,"Sep 7, 2020","Jun 30, 2025"
Miguel Almirón,€35.00m,Right Winger,"Feb 10, 1994 (29)",Paraguay,"1,74m",left,"Jan 31, 2019","Jun 30, 2026"
Jacob Murphy,€10.00m,Right Winger,"Feb 24, 1995 (28)",England,"1,73m",right,"Jul 19, 2017","Jun 30, 2027"
Alexander Isak,€50.00m,Centre-Forward,"Sep 21, 1999 (23)",Sweden,"1,92m",right,"Aug 26, 2022","Jun 30, 2028"
Callum Wilson,€18.00m,Centre-Forward,"Feb 27, 1992 (31)",England,"1,80m",right,"Sep 7, 2020","Jun 30, 2024"
