name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Dean Henderson,€22.00m,Goalkeeper,"Mar 12, 1997 (26)",England,"1,88m",right,"Jul 2, 2022","May 31, 2023"
Keylor Navas,€5.00m,Goalkeeper,"Dec 15, 1986 (36)",Costa Rica,"1,85m",right,"Jan 31, 2023","Jun 30, 2023"
Wayne Hennessey,€500k,Goalkeeper,"Jan 24, 1987 (36)",Wales,"1,98m",right,"Jul 15, 2022","Jun 30, 2024"
Moussa Niakhaté,€18.00m,Centre-Back,"Mar 8, 1996 (27)",Senegal,"1,90m",left,"Jul 6, 2022","Jun 30, 2025"
Scott McKenna,€10.00m,Centre-Back,"Nov 12, 1996 (26)",Scotland,"1,89m",left,"Sep 23, 2020","Jun 30, 2024"
Joe Worrall,€8.00m,Centre-Back,"Jan 10, 1997 (26)",England,"1,90m",right,"Jul 1, 2015","Jun 30, 2024"
Willy Boly,€4.00m,Centre-Back,"Feb 3, 1991 (32)",Cote d'Ivoire,"1,95m",right,"Sep 1, 2022","Jun 30, 2024"
Steve Cook,€3.00m,Centre-Back,"Apr 19, 1991 (31)",England,"1,85m",right,"Jan 4, 2022","Jun 30, 2024"
Felipe,€3.00m,Centre-Back,"May 16, 1989 (33)",Brazil,"1,90m",right,"Jan 31, 2023","Jun 30, 2024"
Renan Lodi,€20.00m,Left-Back,"Apr 8, 1998 (24)",Brazil,"1,73m",left,"Aug 29, 2022","Jun 30, 2023"
Omar Richards,€7.00m,Left-Back,"Feb 15, 1998 (25)",England,"1,74m",left,"Jul 10, 2022","Jun 30, 2026"
Harry Toffolo,€3.50m,Left-Back,"Aug 19, 1995 (27)",England,"1,83m",left,"Jul 20, 2022","Jun 30, 2026"
Neco Williams,€18.00m,Right-Back,"Apr 13, 2001 (21)",Wales,"1,83m",right,"Jul 10, 2022","Jun 30, 2026"
Giulian Biancone,€7.00m,Right-Back,"Mar 31, 2000 (22)",France,"1,87m",right,"Jul 3, 2022","Jun 30, 2025"
Serge Aurier,€6.00m,Right-Back,"Dec 24, 1992 (30)",Cote d'Ivoire,"1,76m",right,"Sep 7, 2022","Jun 30, 2023"
Danilo,€25.00m,Defensive Midfield,"Apr 29, 2001 (21)",Brazil,"1,77m",left,"Jan 16, 2023","Jun 30, 2029"
Cheikhou Kouyaté,€3.00m,Defensive Midfield,"Dec 21, 1989 (33)",Senegal,"1,89m",right,"Aug 13, 2022","Jun 30, 2024"
Jack Colback,€800k,Defensive Midfield,"Oct 24, 1989 (33)",England,"1,77m",left,"Aug 11, 2020","Jun 30, 2023"
Orel Mangala,€12.00m,Central Midfield,"Mar 18, 1998 (25)",Belgium,"1,78m",right,"Jul 31, 2022","Jun 30, 2026"
Remo Freuler,€10.00m,Central Midfield,"Apr 15, 1992 (30)",Switzerland,"1,80m",right,"Aug 14, 2022","Jun 30, 2025"
Lewis O'Brien,€8.00m,Central Midfield,"Oct 14, 1998 (24)",England,"1,73m",left,"Jul 20, 2022","Jun 30, 2026"
Ryan Yates,€8.00m,Central Midfield,"Nov 21, 1997 (25)",England,"1,90m",right,"Jul 1, 2016","Jun 30, 2025"
Jonjo Shelvey,€7.00m,Central Midfield,"Feb 27, 1992 (31)",England,"1,84m",right,"Jan 31, 2023","Jun 30, 2025"
Harry Arter,€600k,Central Midfield,"Dec 28, 1989 (33)",Ireland,"1,77m",left,"Sep 22, 2020","Jun 30, 2023"
Cafú,€600k,Central Midfield,"Feb 26, 1993 (30)",Portugal,"1,85m",right,"Feb 2, 2021","Jun 30, 2023"
Morgan Gibbs-White,€30.00m,Attacking Midfield,"Jan 27, 2000 (23)",England,"1,78m",right,"Aug 19, 2022","Jun 30, 2027"
Jesse Lingard,€12.00m,Attacking Midfield,"Dec 15, 1992 (30)",England,"1,74m",right,"Jul 21, 2022","Jun 30, 2023"
Gustavo Scarpa,€12.00m,Attacking Midfield,"Jan 5, 1994 (29)",Brazil,"1,77m",left,"Jan 1, 2023","Jun 30, 2026"
André Ayew,€2.20m,Left Winger,"Dec 17, 1989 (33)",Ghana,"1,76m",left,"Feb 2, 2023","Jun 30, 2023"
Alex Mighten,€600k,Left Winger,"Apr 11, 2002 (20)",England,"1,71m",right,"Jul 1, 2020","Jun 30, 2025"
Brennan Johnson,€30.00m,Second Striker,"May 23, 2001 (21)",Wales,"1,79m",right,"Jul 1, 2019","Jun 30, 2026"
Taiwo Awoniyi,€20.00m,Centre-Forward,"Aug 12, 1997 (25)",Nigeria,"1,83m",right,"Jul 1, 2022","Jun 30, 2027"
Emmanuel Dennis,€10.00m,Centre-Forward,"Nov 15, 1997 (25)",Nigeria,"1,75m",right,"Aug 13, 2022","Jun 30, 2026"
Chris Wood,€10.00m,Centre-Forward,"Dec 7, 1991 (31)",New Zealand,"1,91m",right,"Jan 20, 2023","Jun 30, 2023"
Sam Surridge,€3.50m,Centre-Forward,"Jul 28, 1998 (24)",England,"1,90m",right,"Jan 31, 2022","Jun 30, 2024"
Lyle Taylor,€350k,Centre-Forward,"Mar 29, 1990 (32)",Montserrat,"1,88m",right,"Aug 15, 2020","Jun 30, 2023"
