name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Alisson,€45.00m,Goalkeeper,"Oct 2, 1992 (30)",Brazil,"1,93m",right,"Jul 19, 2018","Jun 30, 2027"
Caoimhín Kelleher,€8.00m,Goalkeeper,"Nov 23, 1998 (24)",Ireland,"1,88m",right,"Jul 1, 2019","Jun 30, 2026"
Adrián,€1.00m,Goalkeeper,"Jan 3, 1987 (36)",Spain,"1,90m",right,"Aug 5, 2019","Jun 30, 2023"
Virgil van Dijk,€45.00m,Centre-Back,"Jul 8, 1991 (31)",Netherlands,"1,93m",right,"Jan 1, 2018","Jun 30, 2025"
Ibrahima Konaté,€35.00m,Centre-Back,"May 25, 1999 (23)",France,"1,94m",right,"Jul 1, 2021","Jun 30, 2026"
Joe Gomez,€30.00m,Centre-Back,"May 23, 1997 (25)",England,"1,88m",right,"Jul 1, 2015","Jun 30, 2027"
Joel Matip,€16.00m,Centre-Back,"Aug 8, 1991 (31)",Cameroon,"1,95m",right,"Jul 1, 2016","Jun 30, 2024"
Nathaniel Phillips,€6.00m,Centre-Back,"Mar 21, 1997 (26)",England,"1,90m",right,"Jul 1, 2019","Jun 30, 2025"
Rhys Williams,€3.00m,Centre-Back,"Feb 3, 2001 (22)",England,"1,95m",right,"Jul 1, 2020","Jun 30, 2026"
Andrew Robertson,€48.00m,Left-Back,"Mar 11, 1994 (29)",Scotland,"1,78m",left,"Jul 21, 2017","Jun 30, 2026"
Konstantinos Tsimikas,€18.00m,Left-Back,"May 12, 1996 (26)",Greece,"1,79m",left,"Aug 10, 2020","Jun 30, 2025"
Trent Alexander-Arnold,€65.00m,Right-Back,"Oct 7, 1998 (24)",England,"1,80m",right,"Jul 1, 2016","Jun 30, 2025"
Calvin Ramsay,€5.00m,Right-Back,"Jul 31, 2003 (19)",Scotland,"1,77m",right,"Jul 1, 2022","Jun 30, 2027"
Fabinho,€45.00m,Defensive Midfield,"Oct 23, 1993 (29)",Brazil,"1,88m",right,"Jul 1, 2018","Jun 30, 2026"
Stefan Bajcetic,€13.00m,Defensive Midfield,"Oct 22, 2004 (18)",Spain,"1,85m",right,"Jul 1, 2022","Jun 30, 2027"
Thiago,€18.00m,Central Midfield,"Apr 11, 1991 (31)",Spain,"1,74m",right,"Sep 18, 2020","Jun 30, 2024"
Naby Keïta,€17.00m,Central Midfield,"Feb 10, 1995 (28)",Guinea,"1,72m",right,"Jul 1, 2018","Jun 30, 2023"
Curtis Jones,€17.00m,Central Midfield,"Jan 30, 2001 (22)",England,"1,85m",right,"Jul 1, 2020","Jun 30, 2027"
Arthur Melo,€15.00m,Central Midfield,"Aug 12, 1996 (26)",Brazil,"1,72m",right,"Sep 1, 2022","Jun 30, 2023"
Jordan Henderson,€10.00m,Central Midfield,"Jun 17, 1990 (32)",England,"1,87m",right,"Jul 1, 2011","Jun 30, 2025"
Alex Oxlade-Chamberlain,€10.00m,Central Midfield,"Aug 15, 1993 (29)",England,"1,75m",right,"Aug 31, 2017","Jun 30, 2023"
James Milner,€2.00m,Central Midfield,"Jan 4, 1986 (37)",England,"1,75m",right,"Jul 1, 2015","Jun 30, 2023"
Harvey Elliott,€35.00m,Attacking Midfield,"Apr 4, 2003 (20)",England,"1,70m",left,"Jul 1, 2021","Jun 30, 2027"
Fábio Carvalho,€20.00m,Attacking Midfield,"Aug 30, 2002 (20)",Portugal,"1,70m",right,"Jul 1, 2022","Jun 30, 2027"
Luis Díaz,€75.00m,Left Winger,"Jan 13, 1997 (26)",Colombia,"1,80m",right,"Jan 30, 2022","Jun 30, 2027"
Cody Gakpo,€60.00m,Left Winger,"May 7, 1999 (23)",Netherlands,"1,93m",right,"Jan 1, 2023","Jun 30, 2028"
Diogo Jota,€55.00m,Left Winger,"Dec 4, 1996 (26)",Portugal,"1,78m",right,"Sep 19, 2020","Jun 30, 2027"
Mohamed Salah,€70.00m,Right Winger,"Jun 15, 1992 (30)",Egypt,"1,75m",left,"Jul 1, 2017","Jun 30, 2025"
Darwin Núñez,€70.00m,Centre-Forward,"Jun 24, 1999 (23)",Uruguay,"1,87m",right,"Jul 1, 2022","Jun 30, 2028"
Roberto Firmino,€22.00m,Centre-Forward,"Oct 2, 1991 (31)",Brazil,"1,81m",right,"Jul 1, 2015","Jun 30, 2023"
