name,price,position,dob,nationality,height,foot,join_date,contract_expiration
David Soria,€10.00m,Goalkeeper,"Apr 4, 1993 (30)",Spain,"1,92m",right,"Jul 13, 2018","Jun 30, 2023"
Kiko Casilla,€400k,Goalkeeper,"Oct 2, 1986 (36)",Spain,"1,90m",right,"Aug 10, 2022","Jun 30, 2023"
Diego Conde,€300k,Goalkeeper,"Oct 28, 1998 (24)",Spain,"1,88m",,"Jul 28, 2021","Jun 30, 2024"
Domingos Duarte,€8.00m,Centre-Back,"Mar 10, 1995 (28)",Portugal,"1,92m",right,"Jul 11, 2022","Jun 30, 2026"
Djené,€6.00m,Centre-Back,"Dec 31, 1991 (31)",Togo,"1,78m",right,"Jul 24, 2017","Jun 30, 2025"
Gastón Álvarez,€5.00m,Centre-Back,"Mar 24, 2000 (23)",Uruguay,"1,84m",left,"Jan 28, 2022","Jun 30, 2023"
Omar Alderete,€4.00m,Centre-Back,"Dec 26, 1996 (26)",Paraguay,"1,88m",left,"Aug 19, 2022","Jun 30, 2023"
Stefan Mitrović,€2.00m,Centre-Back,"May 22, 1990 (32)",Serbia,"1,89m",both,"Jul 6, 2021","Jun 30, 2024"
Fabrizio Angileri,€3.00m,Left-Back,"Mar 15, 1994 (29)",Argentina,"1,85m",left,"Jul 14, 2022","Jun 30, 2026"
Jordan Amavi,€3.00m,Left-Back,"Mar 9, 1994 (29)",France,"1,76m",left,"Sep 1, 2022","Jun 30, 2023"
Juan Iglesias,€3.50m,Right-Back,"Jul 3, 1998 (24)",Spain,"1,87m",right,"Jul 1, 2021","Jun 30, 2026"
Damián Suárez,€1.00m,Right-Back,"Apr 27, 1988 (34)",Uruguay,"1,73m",right,"Jul 8, 2015","Jun 30, 2023"
Ángel Algobia,€1.50m,Defensive Midfield,"Jun 23, 1999 (23)",Spain,"1,88m",right,"Aug 11, 2022","Jun 30, 2023"
Mauro Arambarri,€13.00m,Central Midfield,"Sep 30, 1995 (27)",Uruguay,"1,75m",right,"Jul 1, 2018","Jun 30, 2028"
Carles Aleñá,€10.00m,Central Midfield,"Jan 5, 1998 (25)",Spain,"1,80m",left,"Jul 10, 2021","Jun 30, 2026"
Nemanja Maksimović,€8.00m,Central Midfield,"Jan 26, 1995 (28)",Serbia,"1,84m",right,"Jul 16, 2018","Jun 30, 2024"
Luis Milla,€5.00m,Central Midfield,"Oct 7, 1994 (28)",Spain,"1,75m",right,"Jul 25, 2022","Jun 30, 2027"
Gonzalo Villar,€4.50m,Central Midfield,"Mar 23, 1998 (25)",Spain,"1,81m",right,"Jan 13, 2023","Jun 30, 2023"
Jaime Seoane,€3.50m,Central Midfield,"Jan 22, 1997 (26)",Spain,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Portu,€4.50m,Right Winger,"May 21, 1992 (30)",Spain,"1,67m",right,"Jul 1, 2022","Jun 30, 2023"
Enes Ünal,€25.00m,Centre-Forward,"May 10, 1997 (25)",Turkey,"1,87m",right,"Aug 12, 2020","Jun 30, 2025"
Borja Mayoral,€9.00m,Centre-Forward,"Apr 5, 1997 (26)",Spain,"1,82m",right,"Aug 1, 2022","Jun 30, 2027"
Munir El Haddadi,€4.00m,Centre-Forward,"Sep 1, 1995 (27)",Morocco,"1,75m",left,"Aug 31, 2022","Jun 30, 2023"
Jaime Mata,€1.50m,Centre-Forward,"Oct 24, 1988 (34)",Spain,"1,86m",right,"Jul 1, 2018","Jun 30, 2024"
Juanmi Latasa,€1.00m,Centre-Forward,"Mar 23, 2001 (22)",Spain,"1,92m",left,"Aug 26, 2022","Jun 30, 2023"
