name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Rui Silva,€15.00m,Goalkeeper,"Feb 7, 1994 (29)",Portugal,"1,91m",left,"Jul 1, 2021","Jun 30, 2026"
Dani Martín,€1.50m,Goalkeeper,"Jul 8, 1998 (24)",Spain,"1,87m",right,"Jul 18, 2019","Jun 30, 2024"
Claudio Bravo,€1.00m,Goalkeeper,"Apr 13, 1983 (39)",Chile,"1,84m",right,"Aug 30, 2020","Jun 30, 2023"
Luiz Felipe,€15.00m,Centre-Back,"Mar 22, 1997 (26)",Italy,"1,87m",right,"Jul 4, 2022","Jun 30, 2027"
Edgar González,€10.00m,Centre-Back,"Apr 1, 1997 (26)",Spain,"1,93m",right,"Jul 21, 2020","Jun 30, 2025"
Germán Pezzella,€5.00m,Centre-Back,"Jun 27, 1991 (31)",Argentina,"1,87m",right,"Aug 19, 2021","Jun 30, 2025"
Víctor Ruiz,€1.50m,Centre-Back,"Jan 25, 1989 (34)",Spain,"1,84m",left,"Aug 31, 2020","Jun 30, 2023"
Abner,€8.00m,Left-Back,"May 27, 2000 (22)",Brazil,"1,81m",left,"Jan 15, 2023","Jun 30, 2029"
Juan Miranda,€5.00m,Left-Back,"Jan 19, 2000 (23)",Spain,"1,85m",left,"Jul 1, 2021","Jun 30, 2024"
Youssouf Sabaly,€5.00m,Right-Back,"Mar 5, 1993 (30)",Senegal,"1,73m",right,"Jul 1, 2021","Jun 30, 2026"
Aitor Ruibal,€5.00m,Right-Back,"Mar 22, 1996 (27)",Spain,"1,76m",right,"Jul 1, 2019","Jun 30, 2025"
Martín Montoya,€1.50m,Right-Back,"Apr 14, 1991 (31)",Spain,"1,75m",right,"Aug 25, 2020","Jun 30, 2024"
Guido Rodríguez,€28.00m,Defensive Midfield,"Apr 12, 1994 (28)",Argentina,"1,85m",right,"Jan 14, 2020","Jun 30, 2024"
William Carvalho,€16.00m,Defensive Midfield,"Apr 7, 1992 (30)",Portugal,"1,87m",right,"Jul 13, 2018","Jun 30, 2026"
Paul Akouokou,€4.00m,Defensive Midfield,"Dec 20, 1997 (25)",Cote d'Ivoire,"1,81m",right,"Sep 10, 2020","Jun 30, 2024"
Andrés Guardado,€1.50m,Central Midfield,"Sep 28, 1986 (36)",Mexico,"1,67m",left,"Jul 7, 2017","Jun 30, 2023"
Nabil Fekir,€30.00m,Attacking Midfield,"Jul 18, 1993 (29)",France,"1,73m",left,"Jul 23, 2019","Jun 30, 2026"
Sergio Canales,€20.00m,Attacking Midfield,"Feb 16, 1991 (32)",Spain,"1,78m",left,"Jul 3, 2018","Jun 30, 2026"
Rodri Sánchez,€8.00m,Attacking Midfield,"May 16, 2000 (22)",Spain,"1,75m",left,"Jul 1, 2021","Jun 30, 2026"
Juanmi,€15.00m,Left Winger,"May 20, 1993 (29)",Spain,"1,72m",right,"Jul 1, 2019","Jun 30, 2026"
Luiz Henrique,€15.00m,Right Winger,"Jan 2, 2001 (22)",Brazil,"1,82m",left,"Jul 1, 2022","Jun 30, 2028"
Juan Cruz,€2.00m,Right Winger,"Apr 25, 2000 (22)",Spain,"1,80m",left,-,"Jun 30, 2025"
Joaquín,€1.50m,Right Winger,"Jul 21, 1981 (41)",Spain,"1,81m",right,"Aug 31, 2015","Jun 30, 2023"
Ayoze Pérez,€6.00m,Second Striker,"Jul 29, 1993 (29)",Spain,"1,78m",right,"Jan 31, 2023","Jun 30, 2023"
Borja Iglesias,€25.00m,Centre-Forward,"Jan 17, 1993 (30)",Spain,"1,87m",right,"Aug 14, 2019","Jun 30, 2026"
Willian José,€7.00m,Centre-Forward,"Nov 23, 1991 (31)",Brazil,"1,89m",right,"Jul 1, 2022","Jun 30, 2026"
