name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Alban Lafont,€16.00m,Goalkeeper,"Jan 23, 1999 (24)",France,"1,96m",right,"Jul 1, 2021","Jun 30, 2024"
Rémy Descamps,€800k,Goalkeeper,"Jun 25, 1996 (26)",France,"1,96m",left,"Jul 1, 2021","Jun 30, 2024"
Denis Petric,€200k,Goalkeeper,"May 24, 1988 (34)",Slovenia,"1,87m",right,"Aug 1, 2019","Jun 30, 2023"
João Victor,€8.00m,Centre-Back,"Jul 17, 1998 (24)",Brazil,"1,87m",right,"Jan 25, 2023","Jun 30, 2023"
Andrei Girotto,€4.00m,Centre-Back,"Feb 17, 1992 (31)",Brazil,"1,86m",right,"Aug 12, 2017","Jun 30, 2024"
Jean-Charles Castelletto,€4.00m,Centre-Back,"Jan 26, 1995 (28)",Cameroon,"1,86m",both,"Jul 1, 2020","Jun 30, 2026"
Nicolas Pallois,€1.00m,Centre-Back,"Sep 19, 1987 (35)",France,"1,89m",left,"Jul 27, 2017","Jun 30, 2024"
Robin Voisine,€150k,Centre-Back,"Apr 7, 2002 (20)",France,"1,88m",left,"Jul 1, 2022","Jun 30, 2025"
Quentin Merlin,€7.00m,Left-Back,"May 16, 2002 (20)",France,"1,73m",left,"Jul 1, 2021","Jun 30, 2026"
Jaouen Hadjam,€800k,Left-Back,"Mar 26, 2003 (19)",Algeria,"1,84m",left,"Jan 17, 2023","Jun 30, 2027"
Charles Traoré,€800k,Left-Back,"Jan 1, 1992 (31)",Mali,"1,80m",left,"Aug 31, 2018","Jun 30, 2023"
Fabien Centonze,€5.00m,Right-Back,"Jan 16, 1996 (27)",France,"1,82m",right,"Sep 22, 2022","Jun 30, 2027"
Sébastien Corchia,€1.20m,Right-Back,"Nov 1, 1990 (32)",France,"1,76m",right,"Oct 7, 2020","Jun 30, 2023"
Lohann Doucet,€800k,Defensive Midfield,"Sep 14, 2002 (20)",France,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Pedro Chirivella,€6.00m,Central Midfield,"May 23, 1997 (25)",Spain,"1,78m",right,"Jul 1, 2020","Jun 30, 2026"
Samuel Moutoussamy,€3.50m,Central Midfield,"Aug 12, 1996 (26)",DR Congo,"1,76m",left,"Sep 6, 2017","Jun 30, 2024"
Moussa Sissoko,€3.50m,Central Midfield,"Aug 16, 1989 (33)",France,"1,87m",right,"Jul 1, 2022","Jun 30, 2024"
Ludovic Blas,€15.00m,Attacking Midfield,"Dec 31, 1997 (25)",France,"1,80m",left,"Sep 2, 2019","Jun 30, 2024"
Florent Mollet,€2.50m,Attacking Midfield,"Nov 19, 1991 (31)",France,"1,75m",right,"Jan 17, 2023","Jun 30, 2025"
Gor Manvelyan,€400k,Attacking Midfield,"Apr 9, 2002 (20)",France,"1,80m",both,"Jul 1, 2021","Jun 30, 2024"
Samuel Yépié Yépié,€150k,Attacking Midfield,"Oct 2, 2002 (20)",France,"1,71m",left,"Jul 1, 2022",-
Moses Simon,€9.00m,Left Winger,"Jul 12, 1995 (27)",Nigeria,"1,68m",right,"Jul 1, 2020","Jun 30, 2024"
Marcus Coco,€1.50m,Right Winger,"Jun 24, 1996 (26)",France,"1,84m",right,"Jul 16, 2019","Jun 30, 2023"
Andy Delort,€12.00m,Centre-Forward,"Oct 9, 1991 (31)",Algeria,"1,81m",right,"Jan 30, 2023","Jun 30, 2023"
Mostafa Mohamed,€6.00m,Centre-Forward,"Nov 28, 1997 (25)",Egypt,"1,85m",right,"Jul 21, 2022","Jun 30, 2023"
Evann Guessand,€5.00m,Centre-Forward,"Jul 1, 2001 (21)",France,"1,87m",right,"Jul 12, 2022","Jun 30, 2023"
Ignatius Ganago,€4.00m,Centre-Forward,"Feb 16, 1999 (24)",Cameroon,"1,76m",right,"Sep 1, 2022","Jun 30, 2026"
