name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Benjamin Leroy,€600k,Goalkeeper,"Apr 7, 1989 (33)",France,"1,84m",right,"Jul 1, 2018","Jun 30, 2023"
François-Joseph Sollacaro,€300k,Goalkeeper,"Mar 21, 1994 (29)",France,"1,82m",right,"Jul 1, 2018","Jun 30, 2024"
Ghjuvanni Quilichini,€200k,Goalkeeper,"Sep 1, 2002 (20)",France,"1,82m",,"Jul 1, 2021","Jun 30, 2023"
Oumar Gonzalez,€2.50m,Centre-Back,"Feb 25, 1998 (25)",Cameroon,"1,86m",right,"Jul 1, 2021","Jun 30, 2023"
Clément Vidal,€2.00m,Centre-Back,"Jun 18, 2000 (22)",France,"1,81m",right,"Jul 1, 2022","Jun 30, 2025"
Fernand Mayembo,€700k,Centre-Back,"Jan 9, 1996 (27)",Congo,"1,84m",right,"Jul 26, 2022","Jun 30, 2024"
Cédric Avinel,€300k,Centre-Back,"Sep 11, 1986 (36)",Guadeloupe,"1,87m",right,"Jul 1, 2017","Jun 30, 2023"
Youssouf Koné,€1.80m,Left-Back,"Jul 5, 1995 (27)",Mali,"1,74m",left,"Aug 30, 2022","Jun 30, 2023"
Ismaël Diallo,€1.50m,Left-Back,"Jan 29, 1997 (26)",Cote d'Ivoire,"1,78m",left,"Jul 1, 2018","Jun 30, 2023"
Chaker Alhadhur,€200k,Left-Back,"Dec 4, 1991 (31)",Comoros,"1,72m",right,"Oct 12, 2021","Jun 30, 2023"
Mickaël Alphonse,€300k,Right-Back,"Jul 12, 1989 (33)",Guadeloupe,"1,82m",right,"Jul 1, 2022","Jun 30, 2024"
Mohamed Youssouf,€200k,Right-Back,"Mar 26, 1988 (35)",Comoros,"1,69m",right,"Jul 1, 2018","Jun 30, 2023"
Vincent Marchetti,€3.00m,Central Midfield,"Jul 4, 1997 (25)",France,"1,81m",left,"Oct 5, 2020","Jun 30, 2024"
Thomas Mangani,€600k,Central Midfield,"Apr 29, 1987 (35)",France,"1,83m",left,"Jul 1, 2022","Jun 30, 2024"
Mathieu Coutadeur,€250k,Central Midfield,"Mar 20, 1986 (37)",France,"1,69m",right,"Jul 1, 2017","Jun 30, 2023"
Alassane N'Diaye,€200k,Right Midfield,"Jun 14, 1991 (31)",France,"1,80m",right,"Jul 1, 2020","Jun 30, 2023"
Yanis Cimignani,€1.50m,Left Midfield,"Jan 22, 2002 (21)",France,"1,76m",left,"Jul 1, 2020","Jun 30, 2023"
Michaël Barreto,€500k,Attacking Midfield,"Jan 18, 1991 (32)",France,"1,75m",right,"Jul 1, 2020","Jun 30, 2023"
Florian Chabrolle,€250k,Attacking Midfield,"Apr 7, 1998 (24)",France,"1,71m",right,"Jan 5, 2021","Jun 30, 2023"
Youcef Belaïli,€1.80m,Left Winger,"Mar 14, 1992 (31)",Algeria,"1,82m",right,"Oct 12, 2022","Jun 30, 2023"
Kevin Spadanuda,€800k,Left Winger,"Jan 16, 1997 (26)",Switzerland,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Jean Botué,€500k,Left Winger,"Aug 7, 2002 (20)",Burkina Faso,"1,84m",left,"Feb 16, 2021","Jun 30, 2023"
Cyrille Bayala,€1.00m,Right Winger,"May 24, 1996 (26)",Burkina Faso,"1,81m",right,"Jan 15, 2021","Jun 30, 2024"
Riad Nouri,€250k,Right Winger,"Jun 7, 1985 (37)",France,"1,78m",right,"Sep 7, 2020","Jun 30, 2024"
Ruan Levine,€100k,Right Winger,"Jan 19, 1999 (24)",Brazil,"1,77m",right,"Sep 20, 2022","Jun 30, 2023"
Moussa Djitté,€2.00m,Centre-Forward,"Oct 4, 1999 (23)",Senegal,"1,80m",right,"Jan 31, 2023","Jun 30, 2023"
Mounaïm El Idrissy,€1.80m,Centre-Forward,"Feb 10, 1999 (24)",France,"1,81m",right,"Jul 1, 2019","Jun 30, 2023"
Moussa Soumano,€900k,Centre-Forward,"Jul 9, 2005 (17)",France,-,,-,-
Romain Hamouma,€600k,Centre-Forward,"Mar 29, 1987 (36)",France,"1,79m",right,"Jul 1, 2022","Jun 30, 2023"
Yoann Touzghar,€500k,Centre-Forward,"Nov 28, 1986 (36)",Tunisia,"1,80m",right,"Aug 24, 2022","Jun 30, 2024"
