name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Kasper Schmeichel,€2.50m,Goalkeeper,"Nov 5, 1986 (36)",Denmark,"1,89m",right,"Aug 3, 2022","Jun 30, 2025"
Marcin Bulka,€2.00m,Goalkeeper,"Oct 4, 1999 (23)",Poland,"1,99m",right,"Jul 1, 2022","Jun 30, 2026"
Teddy Boulhendi,€150k,Goalkeeper,"Apr 9, 2001 (21)",Algeria,"1,85m",,"Jul 1, 2020","Jun 30, 2025"
Jean-Clair Todibo,€30.00m,Centre-Back,"Dec 30, 1999 (23)",France,"1,90m",right,"Jul 1, 2021","Jun 30, 2027"
Youssouf Ndayishimiye,€12.00m,Centre-Back,"Oct 27, 1998 (24)",Burundi,"1,83m",right,"Jan 25, 2023","Jun 30, 2027"
Mattia Viti,€10.00m,Centre-Back,"Jan 24, 2002 (21)",Italy,"1,90m",left,"Aug 3, 2022","Jun 30, 2027"
Dante,€700k,Centre-Back,"Oct 18, 1983 (39)",Brazil,"1,88m",left,"Aug 23, 2016","Jun 30, 2023"
Melvin Bard,€8.00m,Left-Back,"Nov 6, 2000 (22)",France,"1,73m",left,"Jul 16, 2021","Jun 30, 2025"
Joe Bryan,€3.00m,Left-Back,"Sep 17, 1993 (29)",England,"1,70m",left,"Aug 31, 2022","Jun 30, 2023"
Ayoub Amraoui,€2.50m,Left-Back,"May 14, 2004 (18)",Morocco,"1,86m",left,-,-
Youcef Atal,€10.00m,Right-Back,"May 17, 1996 (26)",Algeria,"1,76m",both,"Jul 17, 2018","Jun 30, 2024"
Jordan Lotomba,€6.00m,Right-Back,"Sep 29, 1998 (24)",Switzerland,"1,77m",right,"Aug 3, 2020","Jun 30, 2025"
Antoine Mendy,€1.00m,Right-Back,"May 27, 2004 (18)",France,"1,87m",right,"Jul 1, 2022","Jun 30, 2025"
Khéphren Thuram,€32.00m,Defensive Midfield,"Mar 26, 2001 (22)",France,"1,92m",right,"Jul 6, 2019","Jun 30, 2025"
Pablo Rosario,€7.00m,Defensive Midfield,"Jan 7, 1997 (26)",Netherlands,"1,85m",right,"Jul 27, 2021","Jun 30, 2026"
Alexis Beka Beka,€6.00m,Defensive Midfield,"Mar 29, 2001 (22)",France,"1,78m",right,"Aug 1, 2022","Jun 30, 2027"
Reda Belahyane,€150k,Defensive Midfield,"Jun 1, 2004 (18)",France,"1,69m",,-,"Jun 30, 2024"
Ross Barkley,€9.00m,Central Midfield,"Dec 5, 1993 (29)",England,"1,89m",right,"Sep 4, 2022","Jun 30, 2023"
Hicham Boudaoui,€7.00m,Central Midfield,"Sep 23, 1999 (23)",Algeria,"1,75m",right,"Sep 2, 2019","Jun 30, 2027"
Aaron Ramsey,€3.00m,Central Midfield,"Dec 26, 1990 (32)",Wales,"1,78m",right,"Aug 1, 2022","Jun 30, 2023"
Daouda Traoré,€100k,Right Midfield,"Jul 22, 2006 (16)",France,"1,86m",,-,-
Sofiane Diop,€18.00m,Left Winger,"Jun 9, 2000 (22)",France,"1,75m",right,"Aug 29, 2022","Jun 30, 2027"
Billal Brahimi,€7.00m,Left Winger,"Mar 14, 2000 (23)",Algeria,"1,83m",left,"Jan 28, 2022","Jun 30, 2026"
Nicolas Pépé,€22.00m,Right Winger,"May 29, 1995 (27)",Cote d'Ivoire,"1,83m",left,"Aug 25, 2022","Jun 30, 2023"
Badredine Bouanani,€2.50m,Right Winger,"Dec 8, 2004 (18)",Algeria,"1,72m",left,"Jul 7, 2022","Jun 30, 2024"
Terem Moffi,€20.00m,Centre-Forward,"May 25, 1999 (23)",Nigeria,"1,88m",left,"Jan 31, 2023","Jun 30, 2023"
Gaëtan Laborde,€14.00m,Centre-Forward,"May 3, 1994 (28)",France,"1,81m",left,"Sep 1, 2022","Jun 30, 2026"
