name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Ionut Radu,€3.50m,Goalkeeper,"May 28, 1997 (25)",Romania,"1,88m",right,"Jan 25, 2023","Jun 30, 2023"
Donovan Léon,€600k,Goalkeeper,"Nov 3, 1992 (30)",French Guiana,"1,87m",right,"Jul 1, 2020","Jun 30, 2025"
Théo De Percin,€150k,Goalkeeper,"Feb 2, 2001 (22)",Martinique,"1,85m",right,"Mar 17, 2021","Jun 30, 2024"
Vincenzo Cozzella,€100k,Goalkeeper,"Dec 21, 2001 (21)",Italy,"1,90m",,"Jan 18, 2023",-
Isaak Touré,€5.00m,Centre-Back,"Mar 28, 2003 (20)",France,"2,06m",left,"Jan 3, 2023","Jun 30, 2023"
Jubal,€2.00m,Centre-Back,"Aug 29, 1993 (29)",Brazil,"1,90m",right,"Sep 3, 2020","Jun 30, 2025"
Théo Pellenard,€1.20m,Centre-Back,"Mar 4, 1994 (29)",France,"1,82m",left,"Jul 1, 2021","Jun 30, 2024"
Julian Jeanvier,€800k,Centre-Back,"Mar 31, 1992 (31)",Guinea,"1,83m",right,"Aug 2, 2022","Jun 30, 2023"
Denys Bain,€800k,Centre-Back,"Jul 2, 1993 (29)",France,"1,81m",both,"Jul 5, 2022","Jun 30, 2023"
Gideon Mensah,€2.00m,Left-Back,"Jul 18, 1998 (24)",Ghana,"1,78m",left,"Aug 13, 2022","Jun 30, 2025"
Kenji-Van Boto,€500k,Left-Back,"Mar 7, 1996 (27)",Madagascar,"1,83m",left,"Jul 1, 2014","Jun 30, 2024"
Akim Zedadka,€2.50m,Right-Back,"May 30, 1995 (27)",Algeria,"1,73m",right,"Dec 9, 2022","Jun 30, 2023"
Elisha Owusu,€2.50m,Defensive Midfield,"Nov 7, 1997 (25)",Ghana,"1,82m",right,"Jan 16, 2023","Jun 30, 2025"
Birama Touré,€1.50m,Defensive Midfield,"Jun 6, 1992 (30)",Mali,"1,83m",right,"Jul 17, 2017","Jun 30, 2023"
Rayan Raveloson,€1.50m,Defensive Midfield,"Jan 16, 1997 (26)",Madagascar,"1,83m",right,"Aug 4, 2022","Jun 30, 2025"
Ousoumane Camara,€150k,Defensive Midfield,"Dec 19, 1998 (24)",France,"1,84m",right,"Jul 1, 2019","Jun 30, 2024"
Natanaël Bouekou,€100k,Defensive Midfield,"May 10, 2002 (20)",France,-,,"Jul 1, 2022",-
Han-Noah Massengo,€4.00m,Central Midfield,"Jul 7, 2001 (21)",France,"1,78m",right,"Jan 30, 2023","Jun 30, 2023"
Kays Ruiz-Atil,€1.00m,Central Midfield,"Aug 26, 2002 (20)",Morocco,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Gaëtan Perrin,€1.20m,Right Midfield,"Jun 7, 1996 (26)",France,"1,69m",right,"Jul 1, 2021","Jun 30, 2024"
Hamza Sakhi,€2.00m,Attacking Midfield,"Jun 7, 1996 (26)",Morocco,"1,76m",right,"Apr 16, 2018","Jun 30, 2025"
Youssouf M'Changama,€1.00m,Attacking Midfield,"Aug 29, 1990 (32)",Comoros,"1,75m",right,"Jul 1, 2022","Jun 30, 2024"
Mathias Autret,€1.00m,Attacking Midfield,"Mar 1, 1991 (32)",France,"1,79m",right,"Jul 1, 2020","Jun 30, 2023"
Kévin Danois,€100k,Attacking Midfield,"Jun 28, 2004 (18)",France,-,right,"Jul 1, 2022","Jun 30, 2024"
Siriki Dembélé,€2.50m,Left Winger,"Sep 7, 1996 (26)",Scotland,"1,73m",right,"Jan 31, 2023","Jun 30, 2023"
Rémy Dugimont,€300k,Left Winger,"Jul 1, 1986 (36)",France,"1,82m",right,"Aug 13, 2018","Jun 30, 2023"
Gauthier Hein,€2.50m,Right Winger,"Aug 7, 1996 (26)",France,"1,70m",left,"Jul 1, 2020","Jun 30, 2025"
Lassine Sinayoko,€1.20m,Right Winger,"Dec 8, 1999 (23)",Mali,"1,86m",right,"Jul 1, 2019","Jun 30, 2025"
Matthis Abline,€4.00m,Centre-Forward,"Mar 28, 2003 (20)",France,"1,82m",right,"Jan 2, 2023","Jun 30, 2023"
M'Baye Niang,€3.00m,Centre-Forward,"Dec 19, 1994 (28)",Senegal,"1,88m",right,"Aug 16, 2022","Jun 30, 2024"
Nuno Da Costa,€1.00m,Centre-Forward,"Feb 10, 1991 (32)",Cape Verde,"1,82m",right,"Aug 5, 2022","Jun 30, 2024"
Idjessi Metsoko,€100k,Centre-Forward,"Mar 14, 2002 (21)",Togo,-,,"Jul 1, 2022",-
Ousmane Camara,€100k,Centre-Forward,"Nov 3, 2001 (21)",Guinea,-,,"Jul 1, 2022","Jun 30, 2025"
