name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Matz Sels,€8.00m,Goalkeeper,"Feb 26, 1992 (31)",Belgium,"1,88m",right,"Jul 26, 2018","Jun 30, 2026"
Eiji Kawashima,€200k,Goalkeeper,"Mar 20, 1983 (40)",Japan,"1,85m",right,"Aug 29, 2018","Jun 30, 2023"
Alexandre Pierre,€100k,Goalkeeper,"Feb 25, 2001 (22)",Haiti,"1,90m",right,"Jul 1, 2021","Jun 30, 2024"
Robin Risser,€100k,Goalkeeper,"Dec 2, 2004 (18)",France,"1,93m",right,-,-
Alexander Djiku,€8.00m,Centre-Back,"Aug 9, 1994 (28)",Ghana,"1,82m",right,"Jul 5, 2019","Jun 30, 2023"
Gerzino Nyamsi,€6.50m,Centre-Back,"Jan 22, 1997 (26)",France,"1,95m",right,"Aug 30, 2021","Jun 30, 2025"
Lucas Perrin,€3.50m,Centre-Back,"Nov 19, 1998 (24)",France,"1,88m",right,"Jul 1, 2022","Jun 30, 2025"
Ismaël Doukouré,€3.00m,Centre-Back,"Jul 24, 2003 (19)",France,"1,83m",right,"Jan 29, 2022","Jun 30, 2026"
Maxime Le Marchand,€1.20m,Centre-Back,"Oct 11, 1989 (33)",France,"1,85m",left,"Aug 26, 2021","Jun 30, 2023"
Franci Bouebari,€250k,Centre-Back,"Sep 12, 2003 (19)",France,"1,92m",right,-,-
Eduard Sobol,€3.00m,Left-Back,"Apr 20, 1995 (27)",Ukraine,"1,86m",left,"Jan 23, 2023","Jun 30, 2026"
Thomas Delaine,€1.50m,Left-Back,"Mar 24, 1992 (31)",France,"1,80m",left,"Jul 1, 2022","Jun 30, 2025"
Colin Dagba,€5.00m,Right-Back,"Sep 9, 1998 (24)",France,"1,70m",right,"Jul 6, 2022","Jun 30, 2023"
Frédéric Guilbert,€5.00m,Right-Back,"Dec 24, 1994 (28)",France,"1,78m",right,"Jan 17, 2023","Jun 30, 2026"
Ibrahima Sissoko,€8.00m,Defensive Midfield,"Oct 27, 1997 (25)",France,"1,93m",right,"Jul 1, 2018","Jun 30, 2024"
Habib Diarra,€4.00m,Defensive Midfield,"Jan 3, 2004 (19)",France,"1,79m",right,"Jul 1, 2022","Jun 30, 2027"
Jean-Eudes Aholou,€3.00m,Defensive Midfield,"Mar 20, 1994 (29)",Cote d'Ivoire,"1,86m",left,"Jul 1, 2022","Jun 30, 2024"
Jean-Ricner Bellegarde,€10.00m,Central Midfield,"Jun 27, 1998 (24)",France,"1,72m",right,"Jul 2, 2019","Jun 30, 2024"
Morgan Sanson,€6.00m,Central Midfield,"Aug 18, 1994 (28)",France,"1,80m",right,"Jan 23, 2023","Jun 30, 2023"
Sanjin Prcic,€3.50m,Central Midfield,"Nov 20, 1993 (29)",Bosnia-Herzegovina,"1,81m",right,"Sep 2, 2019","Jun 30, 2025"
Dimitri Liénard,€600k,Left Midfield,"Feb 13, 1988 (35)",France,"1,81m",left,"Jul 1, 2013","Jun 30, 2023"
Yuito Suzuki,€700k,Attacking Midfield,"Oct 25, 2001 (21)",Japan,"1,75m",right,"Jan 27, 2023","Jun 30, 2023"
Nordine Kandil,€400k,Attacking Midfield,"Oct 31, 2001 (21)",Morocco,"1,65m",left,"Jul 1, 2021","Jun 30, 2025"
Habib Diallo,€14.00m,Centre-Forward,"Jun 18, 1995 (27)",Senegal,"1,86m",right,"Oct 5, 2020","Jun 30, 2025"
Kévin Gameiro,€1.50m,Centre-Forward,"May 9, 1987 (35)",France,"1,72m",right,"Jul 18, 2021","Jun 30, 2023"
Lebo Mothiba,€1.50m,Centre-Forward,"Jan 28, 1996 (27)",South Africa,"1,82m",right,"Aug 30, 2018","Jun 30, 2024"
