name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Lucas Chevalier,€5.00m,Goalkeeper,"Nov 6, 2001 (21)",France,"1,89m",right,"Jul 1, 2020","Jun 30, 2027"
Benoît Costil,€1.50m,Goalkeeper,"Jul 3, 1987 (35)",France,"1,88m",right,"Jan 26, 2023","Jun 30, 2023"
Adam Jakubech,€400k,Goalkeeper,"Jan 2, 1997 (26)",Slovakia,"1,88m",right,"Jul 26, 2017","Jun 30, 2025"
Tiago Djaló,€12.00m,Centre-Back,"Apr 9, 2000 (22)",Portugal,"1,90m",right,"Aug 1, 2019","Jun 30, 2024"
Alexsandro,€2.50m,Centre-Back,"Aug 9, 1999 (23)",Brazil,"1,89m",right,"Jul 1, 2022","Jun 30, 2026"
Leny Yoro,€2.50m,Centre-Back,"Nov 13, 2005 (17)",France,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
José Fonte,€700k,Centre-Back,"Dec 22, 1983 (39)",Portugal,"1,87m",right,"Jul 15, 2018","Jun 30, 2023"
Gabriel Gudmundsson,€5.00m,Left-Back,"Apr 29, 1999 (23)",Sweden,"1,80m",left,"Aug 31, 2021","Jun 30, 2026"
Ismaily,€3.00m,Left-Back,"Jan 11, 1990 (33)",Brazil,"1,77m",left,"Aug 4, 2022","Jun 30, 2023"
Bafodé Diakité,€4.50m,Right-Back,"Jan 6, 2001 (22)",France,"1,85m",right,"Aug 5, 2022","Jun 30, 2026"
Benjamin André,€10.00m,Defensive Midfield,"Aug 3, 1990 (32)",France,"1,80m",right,"Jul 17, 2019","Jun 30, 2026"
Jonas Martin,€1.80m,Defensive Midfield,"Apr 9, 1990 (32)",France,"1,84m",right,"Jul 1, 2022","Jun 30, 2024"
André Gomes,€14.00m,Central Midfield,"Jul 30, 1993 (29)",Portugal,"1,88m",right,"Sep 1, 2022","Jun 30, 2023"
Carlos Baleba,€800k,Central Midfield,"Jan 3, 2004 (19)",Cameroon,"1,79m",left,"Jul 1, 2022","Jun 30, 2026"
Angel Gomes,€13.00m,Attacking Midfield,"Aug 31, 2000 (22)",England,"1,68m",right,"Aug 9, 2020","Jun 30, 2025"
Rémy Cabella,€5.00m,Attacking Midfield,"Mar 8, 1990 (33)",France,"1,72m",right,"Jul 10, 2022","Jun 30, 2023"
Jonathan Bamba,€20.00m,Left Winger,"Mar 26, 1996 (26)",Cote d'Ivoire,"1,75m",right,"Jul 2, 2018","Jun 30, 2023"
Alan Virginius,€4.00m,Left Winger,"Jan 3, 2003 (20)",France,"1,75m",right,"Aug 17, 2022","Jun 30, 2027"
Timothy Weah,€12.00m,Right Winger,"Feb 22, 2000 (23)",United States,"1,83m",right,"Jul 1, 2019","Jun 30, 2024"
Adam Ounas,€8.00m,Right Winger,"Nov 11, 1996 (26)",Algeria,"1,72m",left,"Sep 1, 2022","Jun 30, 2024"
Edon Zhegrova,€5.00m,Right Winger,"Mar 31, 1999 (23)",Kosovo,"1,81m",left,"Jan 14, 2022","Jun 30, 2026"
Jonathan David,€45.00m,Centre-Forward,"Jan 14, 2000 (23)",Canada,"1,75m",both,"Aug 11, 2020","Jun 30, 2025"
Mohamed Bayo,€10.00m,Centre-Forward,"Jun 4, 1998 (24)",Guinea,"1,88m",right,"Jul 13, 2022","Jun 30, 2027"
