name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Edouard Mendy,€18.00m,Goalkeeper,"Mar 1, 1992 (31)",Senegal,"1,94m",right,"Sep 24, 2020","Jun 30, 2025"
Kepa Arrizabalaga,€15.00m,Goalkeeper,"Oct 3, 1994 (28)",Spain,"1,86m",right,"Aug 8, 2018","Jun 30, 2025"
Gabriel Slonina,€8.00m,Goalkeeper,"May 15, 2004 (18)",United States,"1,93m",right,"Aug 2, 2022","Jun 30, 2028"
Marcus Bettinelli,€2.00m,Goalkeeper,"May 24, 1992 (30)",England,"1,93m",right,"Jul 28, 2021","Jun 30, 2023"
Wesley Fofana,€65.00m,Centre-Back,"Dec 17, 2000 (22)",France,"1,86m",right,"Aug 31, 2022","Jun 30, 2029"
Benoît Badiashile,€40.00m,Centre-Back,"Mar 26, 2001 (21)",France,"1,94m",left,"Jan 5, 2023","Jun 30, 2030"
Kalidou Koulibaly,€25.00m,Centre-Back,"Jun 20, 1991 (31)",Senegal,"1,86m",right,"Jul 16, 2022","Jun 30, 2026"
Trevoh Chalobah,€22.00m,Centre-Back,"Jul 5, 1999 (23)",England,"1,92m",right,"Jul 1, 2021","Jun 30, 2028"
Thiago Silva,€2.50m,Centre-Back,"Sep 22, 1984 (38)",Brazil,"1,81m",right,"Aug 28, 2020","Jun 30, 2024"
Marc Cucurella,€40.00m,Left-Back,"Jul 22, 1998 (24)",Spain,"1,73m",left,"Aug 5, 2022","Jun 30, 2028"
Ben Chilwell,€35.00m,Left-Back,"Dec 21, 1996 (26)",England,"1,80m",left,"Aug 26, 2020","Jun 30, 2025"
Lewis Hall,€8.00m,Left-Back,"Sep 8, 2004 (18)",England,"1,79m",left,-,"Jun 30, 2025"
Reece James,€70.00m,Right-Back,"Dec 8, 1999 (23)",England,"1,80m",right,"Jul 1, 2019","Jun 30, 2028"
César Azpilicueta,€8.00m,Right-Back,"Aug 28, 1989 (33)",Spain,"1,78m",right,"Aug 24, 2012","Jun 30, 2024"
N'Golo Kanté,€20.00m,Defensive Midfield,"Mar 29, 1991 (31)",France,"1,71m",right,"Jul 16, 2016","Jun 30, 2023"
Denis Zakaria,€20.00m,Defensive Midfield,"Nov 20, 1996 (26)",Switzerland,"1,90m",right,"Sep 1, 2022","Jun 30, 2023"
Enzo Fernández,€85.00m,Central Midfield,"Jan 17, 2001 (22)",Argentina,"1,78m",right,"Jan 31, 2023","Jun 30, 2031"
Mateo Kovacic,€40.00m,Central Midfield,"May 6, 1994 (28)",Croatia,"1,77m",right,"Jul 1, 2019","Jun 30, 2024"
Conor Gallagher,€32.00m,Central Midfield,"Feb 6, 2000 (23)",England,"1,82m",right,"Jul 1, 2022","Jun 30, 2025"
Ruben Loftus-Cheek,€25.00m,Central Midfield,"Jan 23, 1996 (27)",England,"1,91m",right,"Jan 1, 2015","Jun 30, 2024"
Carney Chukwuemeka,€15.00m,Central Midfield,"Oct 20, 2003 (19)",England,"1,87m",right,"Aug 4, 2022","Jun 30, 2028"
Mason Mount,€65.00m,Attacking Midfield,"Jan 10, 1999 (24)",England,"1,81m",right,"Jul 1, 2019","Jun 30, 2024"
Kai Havertz,€60.00m,Attacking Midfield,"Jun 11, 1999 (23)",Germany,"1,93m",left,"Sep 4, 2020","Jun 30, 2025"
Mykhaylo Mudryk,€60.00m,Left Winger,"Jan 5, 2001 (22)",Ukraine,"1,75m",right,"Jan 15, 2023","Jun 30, 2031"
Raheem Sterling,€60.00m,Left Winger,"Dec 8, 1994 (28)",England,"1,70m",right,"Jul 13, 2022","Jun 30, 2027"
Christian Pulisic,€32.00m,Right Winger,"Sep 18, 1998 (24)",United States,"1,77m",right,"Jan 2, 2019","Jun 30, 2024"
Noni Madueke,€28.00m,Right Winger,"Mar 10, 2002 (21)",England,"1,82m",left,"Jan 20, 2023","Jun 30, 2030"
Hakim Ziyech,€18.00m,Right Winger,"Mar 19, 1993 (30)",Morocco,"1,81m",left,"Jul 1, 2020","Jun 30, 2025"
João Félix,€50.00m,Second Striker,"Nov 10, 1999 (23)",Portugal,"1,81m",right,"Jan 11, 2023","Jun 30, 2023"
Armando Broja,€30.00m,Centre-Forward,"Sep 10, 2001 (21)",Albania,"1,91m",right,"Jul 1, 2022","Jun 30, 2028"
David Datro Fofana,€10.00m,Centre-Forward,"Dec 22, 2002 (20)",Cote d'Ivoire,"1,81m",right,"Jan 1, 2023","Jun 30, 2029"
Pierre-Emerick Aubameyang,€7.00m,Centre-Forward,"Jun 18, 1989 (33)",Gabon,"1,86m",right,"Sep 1, 2022","Jun 30, 2024"
