Player,90s_x,goals_allowed,PSxG+/-,launched_pass_completion,attempted_passes,attempted_throws,percentage_launched_passes,average_pass_length,goal_kicks_attempted,launched_goal_kicks,average_goal_kick_length,%_stopped_crosses,actions_outside_pk,90s_y,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,passes_blocked,interceptions,clearances,errors_leading_to_goal,shots_on_target_against,saves,clean_sheets,penalties_faced,penalties_conceded_x,penalties_saved,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded_y,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_pentalty_area,progressive_passes,Min,MP,Starts,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penality_area_attacking,attempted_take_ons,successful_take-ons,tackled_take-ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pentalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penality_kicks_attempted,xG,price,position,dob,nationality,height,foot,join_date,contract_expiration
Bernd Leno,20.0,28.0,4.1,35.3,592.0,107.0,30.9,31.1,139.0,41.7,37.1,8.6,27.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,111.0,83.0,5.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,7.0,0.0,145.0,145.0,288.0,290.0,135.0,296.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1800.0,20,20,620.0,781.0,6.0,0.0,0.0,0.0,0.0,0.0,426.0,2164.0,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,€10.00m,Goalkeeper,"Mar 4, 1992 (30)",Germany,"1,90m",right,"Aug 2, 2022","Jun 30, 2025"
Tim Ream,,,,,,,,,,,,,,22.0,21.0,11.0,10.0,8.0,3.0,19.0,13.0,32.0,74.0,0.0,,,,,,,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,131.0,29.0,18.0,253.0,292.0,631.0,680.0,181.0,256.0,0.0,0.2,0.0,81.0,0.0,0.0,75.0,1977.0,22,22,204.0,748.0,648.0,49.0,12.0,9.0,6.0,1.0,870.0,4842.0,3277.0,18.0,8.0,0.0,12.0,3.0,1.0,3.0,2.0,0.33,9.8,0.0,0.0,0.0,0.3,€1.00m,Centre-Back,"Oct 5, 1987 (35)",United States,"1,86m",left,"Aug 20, 2015","Jun 30, 2024"
Andreas Pereira,,,,,,,,,,,,,,20.2,11.0,6.0,1.0,4.0,6.0,3.0,15.0,4.0,5.0,0.0,,,,,,,76.0,33.0,35.0,0.0,4.0,4.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,28.0,23.0,2.0,0.0,1.0,0.0,84.0,7.0,19.0,219.0,279.0,154.0,213.0,75.0,163.0,5.0,3.1,48.0,56.0,17.0,9.0,76.0,1815.0,22,22,12.0,68.0,410.0,417.0,40.0,33.0,9.0,19.0,476.0,2644.0,1187.0,37.0,30.0,8.0,39.0,33.0,2.0,28.0,11.0,0.04,21.9,8.0,1.0,1.0,3.5,€13.00m,Attacking Midfield,"Jan 1, 1996 (27)",Brazil,"1,78m",right,"Jul 11, 2022","Jun 30, 2026"
João Palhinha,,,,,,,,,,,,,,20.7,98.0,56.0,33.0,44.0,21.0,4.0,28.0,27.0,41.0,1.0,,,,,,,18.0,12.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,26.0,1.0,0.0,0.0,0.0,125.0,42.0,25.0,291.0,338.0,227.0,266.0,61.0,89.0,0.0,0.2,3.0,74.0,2.0,0.0,63.0,1865.0,21,21,50.0,241.0,629.0,157.0,26.0,19.0,6.0,9.0,451.0,1630.0,541.0,4.0,8.0,2.0,21.0,16.0,3.0,27.0,7.0,0.11,16.7,0.0,0.0,0.0,2.0,€28.00m,Defensive Midfield,"Jul 9, 1995 (27)",Portugal,"1,90m",right,"Jul 4, 2022","Jun 30, 2027"
Harrison Reed,,,,,,,,,,,,,,19.2,22.0,15.0,7.0,13.0,2.0,4.0,27.0,13.0,26.0,0.0,,,,,,,41.0,35.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,19.0,13.0,2.0,0.0,0.0,0.0,96.0,19.0,22.0,304.0,361.0,179.0,219.0,41.0,77.0,1.0,1.0,20.0,48.0,18.0,7.0,56.0,1725.0,21,21,35.0,163.0,505.0,259.0,25.0,17.0,6.0,11.0,417.0,1908.0,676.0,19.0,16.0,1.0,29.0,14.0,2.0,15.0,4.0,0.13,20.3,0.0,0.0,0.0,1.3,€15.00m,Central Midfield,"Jan 27, 1995 (28)",England,"1,81m",right,"Aug 30, 2020","Jun 30, 2024"
Antonee Robinson,,,,,,,,,,,,,,18.3,30.0,17.0,22.0,7.0,1.0,9.0,21.0,24.0,45.0,1.0,,,,,,,34.0,32.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,12.0,2.0,0.0,1.0,0.0,137.0,17.0,14.0,326.0,374.0,322.0,415.0,65.0,149.0,0.0,0.9,11.0,56.0,22.0,11.0,70.0,1648.0,19,19,68.0,402.0,501.0,296.0,16.0,38.0,14.0,17.0,595.0,4074.0,2447.0,58.0,52.0,9.0,24.0,12.0,0.0,1.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,€10.00m,Left-Back,"Aug 8, 1997 (25)",United States,"1,83m",left,"Aug 20, 2020","Jun 30, 2024"
Aleksandar Mitrović,,,,,,,,,,,,,,17.2,12.0,6.0,6.0,4.0,2.0,4.0,11.0,2.0,16.0,1.0,,,,,,,50.0,24.0,0.0,7.0,12.0,6.0,1.0,9.0,2.0,0.0,1.0,4.0,2.0,0.0,5.0,0.0,26.0,30.0,11.0,2.0,0.0,0.0,49.0,81.0,79.0,131.0,197.0,67.0,104.0,22.0,36.0,1.0,1.1,13.0,19.0,7.0,1.0,34.0,1550.0,18,18,22.0,63.0,303.0,265.0,108.0,36.0,17.0,18.0,350.0,1524.0,568.0,18.0,11.0,8.0,55.0,45.0,11.0,69.0,23.0,0.12,15.6,0.0,3.0,6.0,11.3,€28.00m,Centre-Forward,"Sep 16, 1994 (28)",Serbia,"1,89m",right,"Jul 30, 2018","Jun 30, 2026"
Kenny Tete,,,,,,,,,,,,,,14.7,47.0,27.0,26.0,14.0,7.0,11.0,14.0,25.0,50.0,0.0,,,,,,,27.0,24.0,2.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,59.0,17.0,13.0,323.0,377.0,222.0,304.0,39.0,81.0,4.0,1.0,14.0,37.0,14.0,10.0,51.0,1327.0,16,15,55.0,278.0,498.0,242.0,14.0,10.0,4.0,4.0,429.0,2115.0,1151.0,36.0,27.0,1.0,13.0,12.0,0.0,6.0,3.0,0.0,19.9,0.0,0.0,0.0,0.3,€7.00m,Right-Back,"Oct 9, 1995 (27)",Netherlands,"1,80m",right,"Sep 10, 2020","Jun 30, 2024"
Willian,,,,,,,,,,,,,,12.6,10.0,6.0,6.0,2.0,2.0,0.0,8.0,6.0,4.0,0.0,,,,,,,56.0,41.0,6.0,3.0,3.0,2.0,1.0,8.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0,0.0,68.0,6.0,9.0,190.0,222.0,129.0,157.0,45.0,70.0,2.0,1.3,22.0,24.0,18.0,1.0,68.0,1134.0,15,13,4.0,74.0,210.0,319.0,40.0,31.0,18.0,9.0,390.0,2815.0,1446.0,52.0,42.0,15.0,25.0,13.0,2.0,21.0,10.0,0.1,16.1,0.0,0.0,0.0,2.3,€3.00m,Left Winger,"Aug 9, 1988 (34)",Brazil,"1,75m",right,"Sep 1, 2022","Jun 30, 2023"
Tosin Adarabioyo,,,,,,,,,,,,,,12.2,13.0,5.0,10.0,2.0,1.0,8.0,2.0,13.0,65.0,1.0,,,,,,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,57.0,26.0,5.0,117.0,134.0,307.0,347.0,46.0,95.0,0.0,0.1,1.0,29.0,2.0,0.0,36.0,1095.0,14,12,116.0,385.0,311.0,18.0,3.0,3.0,2.0,1.0,352.0,1911.0,1170.0,6.0,8.0,0.0,2.0,3.0,1.0,4.0,2.0,0.25,16.4,0.0,0.0,0.0,0.2,€18.00m,Centre-Back,"Sep 24, 1997 (25)",England,"1,96m",right,"Oct 5, 2020","Jun 30, 2024"
