Player,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Brennan Johnson,2307.0,28,26,21.0,16.0,10.0,5.0,6.0,1.0,3.0,3.0,1.0,45.0,28.0,0.0,5.0,7.0,4.0,1.0,8.0,3.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,29.0,17.0,11.0,0.0,0.0,0.0,70.0,14.0,43.0,128.0,183.0,78.0,140.0,13.0,28.0,2.0,1.5,22.0,9.0,14.0,4.0,26.0,5.0,57.0,233.0,378.0,99.0,72.0,31.0,31.0,375.0,3298.0,1804.0,75.0,40.0,35.0,64.0,21.0,8.0,47.0,24.0,0.15,16.4,0.0,1.0,2.0,7.3
Morgan Gibbs-White,2096.0,25,24,19.0,11.0,6.0,4.0,9.0,3.0,10.0,11.0,0.0,93.0,59.0,19.0,7.0,4.0,2.0,2.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,21.0,22.0,4.0,0.0,0.0,0.0,108.0,37.0,73.0,266.0,350.0,155.0,218.0,62.0,170.0,5.0,4.7,52.0,53.0,33.0,5.0,105.0,12.0,110.0,452.0,537.0,57.0,67.0,31.0,32.0,598.0,3309.0,1506.0,47.0,43.0,14.0,76.0,36.0,2.0,45.0,14.0,0.04,19.8,3.0,0.0,0.0,3.6
Remo Freuler,1900.0,24,21,38.0,19.0,21.0,14.0,3.0,7.0,26.0,35.0,0.0,28.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,9.0,0.0,0.0,0.0,0.0,125.0,22.0,20.0,342.0,395.0,222.0,267.0,28.0,61.0,0.0,0.5,11.0,45.0,5.0,3.0,50.0,62.0,320.0,500.0,153.0,6.0,12.0,6.0,4.0,456.0,2076.0,935.0,7.0,11.0,0.0,18.0,8.0,0.0,6.0,1.0,0.0,22.3,0.0,0.0,0.0,0.3
Dean Henderson,1620.0,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,80.0,80.0,186.0,188.0,159.0,400.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,600.0,711.0,5.0,0.0,0.0,0.0,0.0,0.0,397.0,2242.0,1245.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Renan Lodi,1553.0,20,18,36.0,26.0,25.0,8.0,3.0,5.0,26.0,53.0,0.0,21.0,16.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,18.0,31.0,1.0,0.0,0.0,0.0,108.0,14.0,16.0,226.0,267.0,206.0,280.0,46.0,120.0,0.0,0.7,8.0,22.0,13.0,7.0,24.0,66.0,359.0,348.0,198.0,13.0,30.0,15.0,7.0,441.0,2351.0,1192.0,22.0,13.0,2.0,14.0,9.0,0.0,11.0,0.0,0.0,20.1,2.0,0.0,0.0,0.8
Ryan Yates,1494.0,21,17,28.0,15.0,12.0,13.0,3.0,8.0,8.0,37.0,0.0,22.0,16.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,39.0,45.0,1.0,1.0,0.0,0.0,96.0,29.0,19.0,170.0,206.0,178.0,204.0,30.0,54.0,2.0,0.4,7.0,22.0,2.0,0.0,37.0,52.0,191.0,351.0,128.0,32.0,8.0,4.0,3.0,257.0,1104.0,513.0,10.0,3.0,3.0,17.0,15.0,0.0,25.0,5.0,0.0,16.9,0.0,0.0,0.0,2.2
Scott McKenna,1462.0,18,17,12.0,7.0,7.0,3.0,2.0,14.0,11.0,81.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,64.0,31.0,22.0,157.0,185.0,323.0,377.0,65.0,117.0,0.0,0.3,7.0,34.0,3.0,1.0,33.0,146.0,484.0,317.0,39.0,16.0,7.0,5.0,1.0,418.0,1847.0,925.0,5.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,8.2,0.0,0.0,0.0,0.1
Joe Worrall,1635.0,22,16,37.0,15.0,26.0,9.0,2.0,18.0,19.0,85.0,1.0,12.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,3.0,0.0,0.0,2.0,0.0,95.0,39.0,19.0,214.0,256.0,406.0,467.0,123.0,199.0,0.0,0.5,3.0,64.0,4.0,0.0,52.0,157.0,645.0,432.0,57.0,18.0,2.0,2.0,0.0,587.0,2580.0,1411.0,4.0,5.0,1.0,4.0,4.0,1.0,5.0,1.0,0.2,12.7,0.0,0.0,0.0,0.5
Serge Aurier,1430.0,18,16,50.0,33.0,32.0,15.0,3.0,9.0,22.0,54.0,0.0,22.0,18.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,98.0,36.0,23.0,320.0,391.0,199.0,281.0,34.0,75.0,0.0,0.8,10.0,35.0,12.0,6.0,59.0,77.0,365.0,429.0,234.0,10.0,22.0,11.0,6.0,439.0,2042.0,1218.0,33.0,23.0,0.0,23.0,14.0,1.0,8.0,3.0,0.13,14.7,0.0,0.0,0.0,0.7
Neco Williams,1458.0,26,15,54.0,36.0,38.0,11.0,5.0,6.0,29.0,35.0,0.0,32.0,19.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,26.0,19.0,1.0,0.0,0.0,0.0,104.0,13.0,22.0,218.0,261.0,171.0,249.0,66.0,157.0,0.0,1.1,12.0,24.0,13.0,8.0,30.0,66.0,359.0,356.0,270.0,18.0,41.0,17.0,21.0,473.0,3112.0,1740.0,40.0,28.0,3.0,28.0,16.0,0.0,21.0,5.0,0.0,22.0,2.0,0.0,0.0,1.0
