name,price,position,dob,nationality,height,foot,join_date,contract_expiration,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Emiliano Martínez,€28.00m,Goalkeeper,"Sep 2, 1992 (30)",Argentina,"1,95m",right,"Sep 16, 2020","Jun 30, 2027",2374.0,27,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,30.0,8.0,0.0,154.0,155.0,378.0,382.0,209.0,443.0,0.0,0.2,2.0,16.0,0.0,0.0,0.0,896.0,1049.0,10.0,0.0,0.0,0.0,0.0,0.0,579.0,2967.0,1779.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Robin Olsen,€2.00m,Goalkeeper,"Jan 8, 1990 (33)",Sweden,"1,96m",right,"Jul 1, 2022",-,236.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,15.0,28.0,28.0,23.0,68.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,101.0,118.0,2.0,0.0,0.0,0.0,0.0,0.0,71.0,365.0,186.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Viljami Sinisalo,€400k,Goalkeeper,"Oct 11, 2001 (21)",Finland,"1,90m",right,"Jul 1, 2022","Jun 30, 2025",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Carlos,€30.00m,Centre-Back,"Mar 15, 1993 (30)",Brazil,"1,85m",right,"Jul 1, 2022","Jun 30, 2026",179.0,2,2,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,3.0,30.0,36.0,57.0,66.0,14.0,24.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,8.0,49.0,85.0,9.0,4.0,0.0,0.0,0.0,92.0,284.0,150.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,15.7,0.0,0.0,0.0,0.4
Tyrone Mings,€25.00m,Centre-Back,"Mar 13, 1993 (30)",England,"1,96m",left,"Jul 8, 2019","Jun 30, 2026",2340.0,26,26,10.0,3.0,6.0,4.0,0.0,18.0,39.0,115.0,2.0,17.0,13.0,0.0,0.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,16.0,16.0,1.0,1.0,0.0,1.0,140.0,45.0,19.0,390.0,430.0,691.0,742.0,114.0,215.0,2.0,0.8,5.0,79.0,4.0,0.0,76.0,275.0,954.0,645.0,57.0,15.0,9.0,4.0,2.0,1028.0,5638.0,3103.0,11.0,10.0,2.0,7.0,5.0,0.0,3.0,1.0,0.0,10.2,0.0,0.0,0.0,0.5
Ezri Konsa,€22.00m,Centre-Back,"Oct 23, 1997 (25)",England,"1,83m",right,"Jul 11, 2019","Jun 30, 2026",2512.0,29,28,35.0,13.0,21.0,12.0,2.0,17.0,19.0,99.0,3.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,46.0,0.0,0.0,0.0,0.0,118.0,45.0,31.0,464.0,506.0,695.0,741.0,93.0,158.0,0.0,0.7,7.0,51.0,4.0,2.0,36.0,272.0,984.0,638.0,55.0,19.0,10.0,4.0,2.0,1037.0,4576.0,2563.0,5.0,5.0,0.0,12.0,5.0,0.0,7.0,0.0,0.0,8.5,0.0,0.0,0.0,0.8
Calum Chambers,€8.00m,Centre-Back,"Jan 20, 1995 (28)",England,"1,82m",right,"Jan 27, 2022","Jun 30, 2025",289.0,10,2,8.0,6.0,6.0,2.0,0.0,4.0,7.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,3.0,50.0,57.0,68.0,79.0,14.0,27.0,0.0,0.0,1.0,7.0,1.0,0.0,14.0,25.0,106.0,72.0,21.0,1.0,0.0,0.0,0.0,116.0,661.0,446.0,3.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,29.2,0.0,0.0,0.0,0.0
Álex Moreno,€20.00m,Left-Back,"Jun 8, 1993 (29)",Spain,"1,79m",left,"Jan 11, 2023","Jun 30, 2026",748.0,11,7,12.0,8.0,10.0,1.0,1.0,3.0,4.0,18.0,2.0,21.0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,45.0,7.0,3.0,193.0,230.0,124.0,151.0,11.0,21.0,2.0,1.1,14.0,10.0,12.0,6.0,17.0,33.0,183.0,208.0,171.0,29.0,35.0,15.0,17.0,297.0,1781.0,930.0,31.0,12.0,11.0,21.0,12.0,0.0,10.0,2.0,0.0,19.4,0.0,0.0,0.0,0.5
Lucas Digne,€17.00m,Left-Back,"Jul 20, 1993 (29)",France,"1,78m",left,"Jan 13, 2022","Jun 30, 2026",1299.0,22,16,26.0,10.0,18.0,8.0,0.0,5.0,15.0,37.0,0.0,23.0,19.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,20.0,2.0,0.0,1.0,1.0,76.0,19.0,16.0,347.0,387.0,219.0,295.0,44.0,91.0,0.0,1.3,15.0,34.0,19.0,11.0,51.0,56.0,327.0,347.0,296.0,21.0,16.0,1.0,11.0,496.0,2082.0,1115.0,24.0,11.0,1.0,16.0,11.0,1.0,7.0,3.0,0.14,20.3,3.0,0.0,0.0,0.3
Matty Cash,€22.00m,Right-Back,"Aug 7, 1997 (25)",Poland,"1,85m",right,"Sep 3, 2020","Jun 30, 2027",1639.0,23,18,48.0,28.0,33.0,11.0,4.0,4.0,24.0,40.0,0.0,28.0,25.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,18.0,15.0,2.0,0.0,1.0,0.0,94.0,12.0,10.0,327.0,364.0,339.0,411.0,57.0,125.0,1.0,0.9,8.0,55.0,15.0,9.0,74.0,69.0,382.0,507.0,252.0,11.0,30.0,15.0,7.0,581.0,3011.0,1633.0,41.0,32.0,4.0,22.0,7.0,0.0,7.0,1.0,0.0,26.9,0.0,0.0,0.0,0.2
