name,price,position,dob,nationality,height,foot,join_date,contract_expiration,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Kjell Scherpen,€2.00m,Goalkeeper,"Jan 23, 2000 (23)",Netherlands,"2,06m",right,"Aug 16, 2022","Jun 30, 2023",1674.0,19,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,4.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,6.0,3.0,63.0,63.0,201.0,206.0,173.0,411.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,590.0,730.0,2.0,0.0,0.0,0.0,0.0,0.0,423.0,2222.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Markus Schubert,€600k,Goalkeeper,"Jun 12, 1998 (24)",Germany,"1,87m",right,"Jul 14, 2021","Jun 30, 2024",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daan Reiziger,€350k,Goalkeeper,"Jun 18, 2001 (21)",Netherlands,"1,87m",right,"Jul 1, 2021","Jun 30, 2024",576.0,8,6,2.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,15.0,17.0,31.0,31.0,52.0,156.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,198.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,844.0,448.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Jeroen Houwen,€300k,Goalkeeper,"Feb 18, 1996 (27)",Netherlands,"1,88m",right,"Jul 1, 2016","Jun 30, 2023",180.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,21.0,23.0,24.0,9.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,305.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Nigel van Haveren,€25k,Goalkeeper,"Aug 14, 2003 (19)",Netherlands,-,right,"Jul 1, 2022",-,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Flamingo,€2.00m,Centre-Back,"Dec 31, 2002 (20)",Netherlands,"1,86m",right,"Jul 18, 2022","Jun 30, 2023",2053.0,26,23,33.0,23.0,17.0,14.0,2.0,11.0,44.0,83.0,1.0,30.0,24.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,12.0,1.0,0.0,0.0,0.0,143.0,52.0,40.0,336.0,393.0,414.0,490.0,100.0,182.0,0.0,0.8,12.0,116.0,7.0,0.0,100.0,131.0,512.0,712.0,168.0,45.0,19.0,7.0,10.0,679.0,3175.0,1673.0,13.0,16.0,1.0,21.0,11.0,2.0,23.0,3.0,0.09,11.1,0.0,0.0,0.0,1.9
Melle Meulensteen,€1.80m,Centre-Back,"Jul 4, 1999 (23)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2026",2076.0,25,24,26.0,20.0,12.0,10.0,4.0,20.0,24.0,64.0,2.0,37.0,30.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,201.0,37.0,40.0,382.0,423.0,548.0,599.0,118.0,188.0,1.0,0.9,13.0,114.0,12.0,2.0,114.0,129.0,598.0,766.0,133.0,26.0,18.0,7.0,9.0,772.0,3801.0,2176.0,24.0,12.0,1.0,15.0,11.0,0.0,24.0,4.0,0.0,17.0,0.0,0.0,0.0,1.9
Enzo Cornelisse,€600k,Centre-Back,"Jun 29, 2002 (20)",Netherlands,-,left,"Aug 24, 2020","Jun 30, 2024",1321.0,18,15,22.0,12.0,12.0,10.0,0.0,5.0,9.0,38.0,0.0,7.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,77.0,19.0,25.0,217.0,247.0,278.0,312.0,61.0,114.0,0.0,0.4,2.0,49.0,1.0,0.0,49.0,76.0,315.0,445.0,53.0,13.0,7.0,3.0,1.0,434.0,2244.0,1419.0,14.0,8.0,0.0,12.0,2.0,0.0,8.0,2.0,0.0,12.5,1.0,0.0,0.0,1.1
Tomas Hajek,€400k,Centre-Back,"Dec 1, 1991 (31)",Czech Republic,"1,87m",left,"Jul 1, 2019","Jun 30, 2023",153.0,5,2,3.0,2.0,1.0,2.0,0.0,1.0,4.0,10.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,22.0,27.0,43.0,52.0,6.0,11.0,0.0,0.4,1.0,3.0,0.0,0.0,7.0,13.0,55.0,58.0,7.0,3.0,0.0,0.0,0.0,64.0,274.0,137.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,13.8,0.0,0.0,0.0,0.1
Nicolas Isimat-Mirin,€400k,Centre-Back,"Nov 15, 1991 (31)",France,"1,87m",right,"Jan 10, 2023","Jun 30, 2024",517.0,9,6,9.0,4.0,5.0,4.0,0.0,4.0,4.0,36.0,1.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0,15.0,11.0,83.0,87.0,148.0,171.0,24.0,43.0,0.0,0.0,1.0,10.0,0.0,0.0,24.0,55.0,192.0,176.0,10.0,6.0,0.0,0.0,0.0,205.0,1231.0,791.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,12.3,0.0,0.0,0.0,0.2
Maximilian Wittek,€2.00m,Left-Back,"Aug 21, 1995 (27)",Germany,"1,73m",left,"Jul 21, 2020","Jun 30, 2024",2085.0,24,24,55.0,35.0,26.0,23.0,6.0,2.0,16.0,54.0,0.0,109.0,38.0,52.0,2.0,13.0,2.0,2.0,8.0,4.0,3.0,0.0,1.0,0.0,0.0,8.0,1.0,35.0,18.0,0.0,0.0,1.0,0.0,142.0,21.0,17.0,440.0,513.0,334.0,460.0,108.0,288.0,6.0,4.4,55.0,72.0,23.0,9.0,90.0,66.0,388.0,637.0,601.0,30.0,32.0,15.0,16.0,655.0,3261.0,1793.0,49.0,43.0,7.0,24.0,22.0,2.0,60.0,17.0,0.03,25.2,10.0,0.0,0.0,2.5
Mitchell Dijks,€2.00m,Left-Back,"Feb 9, 1993 (30)",Netherlands,"1,94m",left,"Sep 2, 2022","Jun 30, 2023",297.0,6,3,3.0,3.0,1.0,2.0,0.0,0.0,2.0,13.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,10.0,6.0,3.0,49.0,56.0,52.0,66.0,7.0,16.0,0.0,0.3,3.0,10.0,3.0,3.0,10.0,11.0,55.0,85.0,40.0,0.0,3.0,2.0,1.0,81.0,467.0,269.0,8.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Carlens Arcus,€1.80m,Right-Back,"Jun 28, 1996 (26)",Haiti,"1,76m",right,"Jul 1, 2022","Jun 30, 2025",2008.0,24,22,42.0,27.0,22.0,14.0,6.0,4.0,62.0,54.0,1.0,65.0,55.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,23.0,8.0,2.0,0.0,0.0,0.0,141.0,34.0,18.0,564.0,628.0,361.0,434.0,88.0,154.0,2.0,2.0,31.0,82.0,23.0,17.0,95.0,74.0,425.0,699.0,437.0,28.0,38.0,13.0,20.0,702.0,3584.0,1745.0,48.0,37.0,8.0,27.0,11.0,1.0,16.0,5.0,0.06,22.7,0.0,0.0,0.0,0.8
Romaric Yapi,€250k,Right-Back,"Jul 13, 2000 (22)",France,"1,78m",right,"Jul 11, 2021","Jun 30, 2024",344.0,15,3,3.0,3.0,1.0,1.0,1.0,2.0,3.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,8.0,9.0,46.0,61.0,32.0,41.0,11.0,17.0,0.0,0.5,5.0,5.0,4.0,2.0,11.0,13.0,39.0,72.0,84.0,14.0,12.0,6.0,6.0,104.0,661.0,250.0,9.0,5.0,0.0,5.0,7.0,0.0,6.0,3.0,0.0,12.6,0.0,0.0,0.0,0.5
Kacper Kozlowski,€8.00m,Central Midfield,"Oct 16, 2003 (19)",Poland,"1,82m",right,"Aug 25, 2022","Jun 30, 2023",1525.0,22,19,31.0,17.0,16.0,10.0,5.0,2.0,12.0,4.0,0.0,57.0,35.0,6.0,3.0,3.0,8.0,2.0,8.0,4.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,23.0,36.0,2.0,0.0,0.0,0.0,108.0,17.0,16.0,216.0,270.0,146.0,204.0,47.0,79.0,4.0,4.0,28.0,48.0,22.0,7.0,72.0,17.0,156.0,382.0,323.0,51.0,97.0,35.0,55.0,525.0,3218.0,1542.0,42.0,24.0,8.0,53.0,25.0,1.0,22.0,7.0,0.05,20.1,0.0,0.0,0.0,1.1
