name,price,position,dob,nationality,height,foot,join_date,contract_expiration,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Michele Di Gregorio,€7.00m,Goalkeeper,"Jul 27, 1997 (25)",Italy,"1,87m",right,"Jul 1, 2022","Jun 30, 2025",2430.0,27,27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,1.0,196.0,196.0,367.0,375.0,251.0,490.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,923.0,1125.0,4.0,0.0,0.0,2.0,2.0,0.0,680.0,3673.0,2465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Alessio Cragno,€4.00m,Goalkeeper,"Jun 28, 1994 (28)",Italy,"1,84m",right,"Jul 1, 2022","Jun 30, 2023",90.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,7.0,18.0,18.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,101.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Alessandro Sorrentino,€500k,Goalkeeper,"Apr 3, 2002 (21)",Italy,"1,90m",right,"Jul 13, 2022","Jun 30, 2027",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon,€7.50m,Centre-Back,"Sep 7, 1995 (27)",Brazil,"1,82m",right,"Aug 5, 2022","Jun 30, 2023",1273.0,20,16,28.0,16.0,15.0,13.0,0.0,2.0,18.0,38.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,19.0,5.0,0.0,0.0,0.0,1.0,55.0,29.0,13.0,300.0,322.0,401.0,420.0,49.0,63.0,0.0,0.5,1.0,60.0,5.0,2.0,49.0,83.0,430.0,480.0,33.0,5.0,5.0,2.0,3.0,540.0,2749.0,1437.0,14.0,9.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,11.6,0.0,0.0,0.0,0.1
Pablo Marí,€5.00m,Centre-Back,"Aug 31, 1993 (29)",Spain,"1,93m",left,"Aug 11, 2022","Jun 30, 2023",1762.0,21,19,26.0,12.0,22.0,4.0,0.0,8.0,17.0,83.0,3.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,102.0,37.0,17.0,285.0,317.0,581.0,615.0,140.0,201.0,0.0,0.2,1.0,62.0,1.0,0.0,44.0,219.0,779.0,531.0,28.0,15.0,3.0,2.0,1.0,750.0,3842.0,1961.0,4.0,6.0,1.0,7.0,3.0,1.0,9.0,2.0,0.11,13.2,0.0,0.0,0.0,0.6
Armando Izzo,€2.80m,Centre-Back,"Mar 2, 1992 (31)",Italy,"1,83m",right,"Sep 1, 2022","Jun 30, 2023",1620.0,20,19,56.0,38.0,34.0,20.0,2.0,7.0,32.0,59.0,0.0,17.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,28.0,32.0,1.0,1.0,0.0,0.0,100.0,32.0,22.0,363.0,395.0,432.0,484.0,90.0,148.0,0.0,0.6,11.0,60.0,6.0,2.0,68.0,110.0,628.0,568.0,87.0,17.0,12.0,4.0,6.0,696.0,3272.0,1759.0,17.0,6.0,1.0,8.0,7.0,1.0,10.0,3.0,0.1,10.7,0.0,0.0,0.0,1.4
Luca Caldirola,€1.00m,Centre-Back,"Feb 1, 1991 (32)",Italy,"1,86m",left,"Jul 17, 2021","Jun 30, 2023",1657.0,22,19,17.0,8.0,10.0,4.0,3.0,9.0,18.0,42.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,70.0,29.0,25.0,365.0,381.0,447.0,491.0,74.0,118.0,0.0,0.3,4.0,43.0,4.0,1.0,50.0,134.0,582.0,521.0,57.0,8.0,1.0,0.0,1.0,684.0,3530.0,2044.0,10.0,7.0,0.0,3.0,1.0,0.0,6.0,1.0,0.0,12.6,0.0,0.0,0.0,0.7
Valentin Antov,€800k,Centre-Back,"Nov 9, 2000 (22)",Bulgaria,"1,87m",right,"Jul 1, 2022",-,230.0,6,1,5.0,4.0,3.0,2.0,0.0,3.0,1.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,8.0,55.0,63.0,62.0,68.0,16.0,25.0,0.0,0.0,1.0,12.0,2.0,0.0,11.0,24.0,88.0,80.0,18.0,0.0,1.0,1.0,0.0,94.0,376.0,184.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Luca Marrone,€300k,Centre-Back,"Mar 28, 1990 (33)",Italy,"1,86m",right,"Aug 31, 2021","Jun 30, 2023",135.0,2,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0,5.0,34.0,35.0,39.0,41.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,66.0,25.0,2.0,1.0,0.0,0.0,0.0,59.0,215.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.6,0.0,0.0,0.0,0.1
Franco Carboni,€1.00m,Left-Back,"Apr 4, 2003 (20)",Argentina,"1,90m",left,"Jan 24, 2023","Jun 30, 2024",58.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,15.0,16.0,11.0,13.0,2.0,5.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,12.0,22.0,20.0,1.0,5.0,2.0,3.0,28.0,219.0,135.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.1,0.0,0.0,0.0,0.1
