name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Marco Silvestri,€5.00m,Goalkeeper,"Mar 2, 1991 (32)",Italy,"1,91m",right,"Jul 20, 2021","Jun 30, 2025"
Daniele Padelli,€300k,Goalkeeper,"Oct 25, 1985 (37)",Italy,"1,91m",right,"Jul 1, 2021","Jun 30, 2023"
Edoardo Piana,€50k,Goalkeeper,"Sep 29, 2003 (19)",Italy,"1,98m",right,"Jul 1, 2022",-
Jaka Bijol,€10.00m,Centre-Back,"Feb 5, 1999 (24)",Slovenia,"1,90m",right,"Jul 14, 2022","Jun 30, 2027"
Rodrigo Becão,€10.00m,Centre-Back,"Jan 19, 1996 (27)",Brazil,"1,91m",right,"Jul 6, 2019","Jun 30, 2024"
Nehuén Pérez,€8.00m,Centre-Back,"Jun 24, 2000 (22)",Argentina,"1,84m",right,"Jul 29, 2022","Jun 30, 2027"
Enzo Ebosse,€4.50m,Centre-Back,"Mar 11, 1999 (24)",Cameroon,"1,85m",left,"Jul 29, 2022","Jun 30, 2027"
Axel Guessand,€300k,Centre-Back,"Nov 6, 2004 (18)",France,"1,84m",left,"Jul 1, 2022","Jun 30, 2027"
James Abankwah,€200k,Centre-Back,"Jan 16, 2004 (19)",Ireland,"1,82m",right,"Jan 26, 2022","Jun 30, 2026"
Destiny Udogie,€22.00m,Left-Back,"Nov 28, 2002 (20)",Italy,"1,88m",left,"Aug 17, 2022","Jun 30, 2023"
Adam Masina,€2.50m,Left-Back,"Jan 2, 1994 (29)",Morocco,"1,91m",left,"Jul 18, 2022","Jun 30, 2025"
Leonardo Buta,€2.00m,Left-Back,"Jun 5, 2002 (20)",Portugal,"1,82m",left,"Jul 1, 2022","Jun 30, 2027"
Marvin Zeegelaar,€400k,Left-Back,"Aug 12, 1990 (32)",Netherlands,"1,86m",left,"Mar 7, 2023","Jun 30, 2023"
Festy Ebosele,€3.50m,Right-Back,"Aug 2, 2002 (20)",Ireland,"1,80m",right,"Jul 1, 2022","Jun 30, 2027"
Kingsley Ehizibue,€2.30m,Right-Back,"May 25, 1995 (27)",Netherlands,"1,89m",right,"Aug 29, 2022","Jun 30, 2026"
Walace,€7.00m,Defensive Midfield,"Apr 4, 1995 (27)",Brazil,"1,88m",right,"Aug 12, 2019","Jun 30, 2026"
Sandi Lovric,€7.00m,Central Midfield,"Mar 28, 1998 (25)",Slovenia,"1,80m",right,"Jul 1, 2022","Jun 30, 2027"
Roberto Pereyra,€6.50m,Central Midfield,"Jan 7, 1991 (32)",Argentina,"1,82m",both,"Sep 28, 2020","Jun 30, 2023"
Tolgay Arslan,€2.00m,Central Midfield,"Aug 16, 1990 (32)",Germany,"1,80m",right,"Sep 18, 2020","Jun 30, 2023"
Lazar Samardzic,€7.50m,Attacking Midfield,"Feb 24, 2002 (21)",Serbia,"1,84m",left,"Aug 5, 2021","Jun 30, 2026"
Simone Pafundi,€3.50m,Attacking Midfield,"Mar 14, 2006 (17)",Italy,"1,66m",left,"Jul 1, 2022","Jun 30, 2025"
Florian Thauvin,€7.50m,Right Winger,"Jan 26, 1993 (30)",France,"1,81m",left,"Jan 31, 2023","Jun 30, 2025"
Beto,€13.00m,Centre-Forward,"Jan 31, 1998 (25)",Portugal,"1,94m",right,"Jul 1, 2022","Jun 30, 2026"
Gerard Deulofeu,€13.00m,Centre-Forward,"Mar 13, 1994 (29)",Spain,"1,77m",right,"Jan 30, 2021","Jun 30, 2024"
Isaac Success,€4.00m,Centre-Forward,"Jan 7, 1996 (27)",Nigeria,"1,82m",right,"Aug 26, 2021","Jun 30, 2025"
Ilija Nestorovski,€600k,Centre-Forward,"Mar 12, 1990 (33)",North Macedonia,"1,82m",left,"Jul 26, 2019","Jun 30, 2023"
Vivaldo,€400k,Centre-Forward,"Jan 28, 2005 (18)",Portugal,"1,92m",left,"Jan 1, 2023","Jun 30, 2025"
