name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Lukasz Skorupski,€3.00m,Goalkeeper,"May 5, 1991 (31)",Poland,"1,87m",right,"Jul 1, 2018","Jun 30, 2025"
Francesco Bardi,€500k,Goalkeeper,"Jan 18, 1992 (31)",Italy,"1,88m",right,"Jul 17, 2021","Jun 30, 2023"
Federico Ravaglia,€450k,Goalkeeper,"Nov 11, 1999 (23)",Italy,"1,96m",right,"Jul 1, 2017","Jun 30, 2026"
Nicola Bagnolini,€200k,Goalkeeper,"Mar 14, 2004 (19)",Italy,"1,93m",right,"Jul 1, 2022","Jun 30, 2026"
Jhon Lucumí,€9.00m,Centre-Back,"Jun 26, 1998 (24)",Colombia,"1,87m",left,"Aug 18, 2022","Jun 30, 2025"
Stefan Posch,€7.00m,Centre-Back,"May 14, 1997 (25)",Austria,"1,90m",right,"Sep 1, 2022","Jun 30, 2023"
Adama Soumaoro,€3.50m,Centre-Back,"Jun 18, 1992 (30)",France,"1,86m",right,"Jul 1, 2021","Jun 30, 2024"
Kevin Bonifazi,€3.30m,Centre-Back,"May 19, 1996 (26)",Italy,"1,87m",right,"Jul 2, 2021","Jun 30, 2025"
Joaquín Sosa,€1.20m,Centre-Back,"Jan 10, 2002 (21)",Uruguay,"1,85m",left,"Aug 17, 2022","Jun 30, 2027"
Wisdom Amey,€700k,Centre-Back,"Aug 11, 2005 (17)",Togo,"1,87m",right,"Jul 1, 2022","Jun 30, 2025"
Gabriele Corbo,€600k,Centre-Back,"Jan 11, 2000 (23)",Italy,"1,86m",right,"Jul 1, 2019","Jun 30, 2023"
Andrea Cambiaso,€6.50m,Left-Back,"Feb 20, 2000 (23)",Italy,"1,83m",both,"Jul 15, 2022","Jun 30, 2023"
Georgios Kyriakopoulos,€5.00m,Left-Back,"Feb 5, 1996 (27)",Greece,"1,82m",left,"Jan 31, 2023","Jun 30, 2023"
Charalampos Lykogiannis,€1.50m,Left-Back,"Oct 22, 1993 (29)",Greece,"1,90m",left,"Jul 1, 2022","Jun 30, 2024"
Lorenzo De Silvestri,€900k,Right-Back,"May 23, 1988 (34)",Italy,"1,86m",right,"Sep 17, 2020","Jun 30, 2023"
Jerdy Schouten,€8.50m,Defensive Midfield,"Jan 12, 1997 (26)",Netherlands,"1,85m",right,"Jul 5, 2019","Jun 30, 2026"
Nikola Moro,€7.00m,Defensive Midfield,"Mar 12, 1998 (25)",Croatia,"1,85m",right,"Aug 29, 2022","Jun 30, 2023"
Gary Medel,€1.00m,Defensive Midfield,"Aug 3, 1987 (35)",Chile,"1,71m",right,"Aug 29, 2019","Jun 30, 2023"
Kacper Urbanski,€250k,Defensive Midfield,"Sep 7, 2004 (18)",Poland,"1,78m",right,"Jul 1, 2022","Jun 30, 2023"
Nicolás Domínguez,€12.00m,Central Midfield,"Jun 28, 1998 (24)",Argentina,"1,79m",right,"Aug 30, 2019","Jun 30, 2024"
Lewis Ferguson,€4.00m,Central Midfield,"Aug 24, 1999 (23)",Scotland,"1,81m",right,"Jul 12, 2022","Jun 30, 2026"
Michel Aebischer,€3.50m,Central Midfield,"Jan 6, 1997 (26)",Switzerland,"1,83m",right,"Jul 1, 2022","Jun 30, 2026"
Niklas Pyyhtiä,€500k,Central Midfield,"Sep 25, 2003 (19)",Finland,"1,86m",left,"Jan 1, 2023","Jun 30, 2024"
Roberto Soriano,€3.50m,Attacking Midfield,"Feb 8, 1991 (32)",Italy,"1,82m",right,"Jul 1, 2019","Jun 30, 2023"
Musa Barrow,€12.00m,Left Winger,"Nov 14, 1998 (24)",The Gambia,"1,84m",right,"Jul 1, 2021","Jun 30, 2025"
Nicola Sansone,€1.50m,Left Winger,"Sep 10, 1991 (31)",Italy,"1,73m",right,"Jul 1, 2019","Jun 30, 2023"
Riccardo Orsolini,€7.50m,Right Winger,"Jan 24, 1997 (26)",Italy,"1,83m",left,"Jul 1, 2019","Jun 30, 2024"
Orji Okwonkwo,-,Right Winger,"Jan 19, 1998 (25)",Nigeria,"1,80m",right,"Dec 1, 2016","Jun 30, 2024"
Joshua Zirkzee,€11.00m,Centre-Forward,"May 22, 2001 (21)",Netherlands,"1,93m",right,"Aug 30, 2022","Jun 30, 2026"
Marko Arnautovic,€9.00m,Centre-Forward,"Apr 19, 1989 (33)",Austria,"1,92m",both,"Aug 1, 2021","Jun 30, 2025"
Antonio Raimondo,€500k,Centre-Forward,"Mar 18, 2004 (19)",Italy,"1,85m",left,"Jul 1, 2022","Jun 30, 2027"
