name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Wojciech Szczesny,€13.00m,Goalkeeper,"Apr 18, 1990 (32)",Poland,"1,96m",right,"Jul 19, 2017","Jun 30, 2024"
Mattia Perin,€4.00m,Goalkeeper,"Nov 10, 1992 (30)",Italy,"1,88m",right,"Jul 1, 2018","Jun 30, 2025"
Carlo Pinsoglio,€300k,Goalkeeper,"Mar 16, 1990 (33)",Italy,"1,94m",left,"Jul 1, 2014","Jun 30, 2023"
Bremer,€40.00m,Centre-Back,"Mar 18, 1997 (26)",Brazil,"1,88m",right,"Jul 20, 2022","Jun 30, 2027"
Federico Gatti,€5.00m,Centre-Back,"Jun 24, 1998 (24)",Italy,"1,90m",right,"Jan 31, 2022","Jun 30, 2027"
Leonardo Bonucci,€2.50m,Centre-Back,"May 1, 1987 (35)",Italy,"1,90m",right,"Aug 2, 2018","Jun 30, 2024"
Daniele Rugani,€2.50m,Centre-Back,"Jul 29, 1994 (28)",Italy,"1,90m",right,"Feb 1, 2015","Jun 30, 2024"
Alex Sandro,€4.50m,Left-Back,"Jan 26, 1991 (32)",Brazil,"1,81m",left,"Aug 20, 2015","Jun 30, 2023"
Danilo,€12.00m,Right-Back,"Jul 15, 1991 (31)",Brazil,"1,84m",right,"Aug 7, 2019","Jun 30, 2025"
Mattia De Sciglio,€4.50m,Right-Back,"Oct 20, 1992 (30)",Italy,"1,83m",right,"Jul 20, 2017","Jun 30, 2025"
Manuel Locatelli,€30.00m,Defensive Midfield,"Jan 8, 1998 (25)",Italy,"1,85m",right,"Aug 18, 2021","Jun 30, 2023"
Leandro Paredes,€12.00m,Defensive Midfield,"Jun 29, 1994 (28)",Argentina,"1,80m",right,"Aug 31, 2022","Jun 30, 2023"
Enzo Barrenechea,€900k,Defensive Midfield,"May 22, 2001 (21)",Argentina,"1,86m",right,"Feb 10, 2023","Jun 30, 2026"
Adrien Rabiot,€30.00m,Central Midfield,"Apr 3, 1995 (28)",France,"1,88m",left,"Jul 1, 2019","Jun 30, 2023"
Paul Pogba,€20.00m,Central Midfield,"Mar 15, 1993 (30)",France,"1,91m",both,"Jul 11, 2022","Jun 30, 2026"
Nicolò Fagioli,€20.00m,Central Midfield,"Feb 12, 2001 (22)",Italy,"1,78m",right,"Jan 1, 2021","Jun 30, 2026"
Fabio Miretti,€15.00m,Central Midfield,"Aug 3, 2003 (19)",Italy,"1,80m",right,"Jul 1, 2022","Jun 30, 2026"
Juan Cuadrado,€5.00m,Right Midfield,"May 26, 1988 (34)",Colombia,"1,76m",right,"Jul 1, 2017","Jun 30, 2023"
Filip Kostić,€24.00m,Left Midfield,"Nov 1, 1992 (30)",Serbia,"1,84m",left,"Aug 12, 2022","Jun 30, 2026"
Mohamed Ihattaren,-,Attacking Midfield,"Feb 12, 2002 (21)",Netherlands,"1,83m",left,"Aug 30, 2021","Jun 30, 2025"
Federico Chiesa,€50.00m,Left Winger,"Oct 25, 1997 (25)",Italy,"1,75m",right,"Jul 1, 2022","Jun 30, 2025"
Samuel Iling Junior,€3.50m,Left Winger,"Oct 4, 2003 (19)",England,"1,82m",left,"Dec 19, 2022","Jun 30, 2025"
Ángel Di María,€10.00m,Right Winger,"Feb 14, 1988 (35)",Argentina,"1,80m",left,"Jul 8, 2022","Jun 30, 2023"
Matías Soulé,€4.00m,Right Winger,"Apr 15, 2003 (19)",Argentina,"1,82m",left,"Jul 1, 2022","Jun 30, 2026"
Dusan Vlahovic,€75.00m,Centre-Forward,"Jan 28, 2000 (23)",Serbia,"1,90m",left,"Jan 28, 2022","Jun 30, 2026"
Moise Kean,€20.00m,Centre-Forward,"Feb 28, 2000 (23)",Italy,"1,83m",right,"Aug 31, 2021","Jun 30, 2023"
Arkadiusz Milik,€10.00m,Centre-Forward,"Feb 28, 1994 (29)",Poland,"1,86m",left,"Aug 26, 2022","Jun 30, 2023"
Kaio Jorge,€3.00m,Centre-Forward,"Jan 24, 2002 (21)",Brazil,"1,82m",right,"Aug 17, 2021","Jun 30, 2026"
