name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Ivor Pandur,€1.50m,Goalkeeper,"Mar 25, 2000 (23)",Croatia,"1,87m",right,"Jul 7, 2022","Jun 30, 2023"
Yanick van Osch,€600k,Goalkeeper,"Mar 24, 1997 (26)",Netherlands,"1,83m",right,"Jul 1, 2020","Jun 30, 2023"
Tom Hendriks,€50k,Goalkeeper,"May 14, 2002 (20)",Netherlands,"1,86m",,"Jul 1, 2021","Jun 30, 2023"
Rodrigo Guth,€2.00m,Centre-Back,"Nov 10, 2000 (22)",Brazil,"1,91m",right,"Jul 21, 2022","Jun 30, 2027"
Stipe Radic,€800k,Centre-Back,"Jun 10, 2000 (22)",Croatia,"1,90m",right,"Jan 1, 2023","Jun 30, 2024"
Dimitrios Siovas,€450k,Centre-Back,"Sep 16, 1988 (34)",Greece,"1,91m",left,"Jan 31, 2022","Jun 30, 2024"
Roel Janssen,€300k,Centre-Back,"Jun 16, 1990 (32)",Netherlands,"1,79m",left,"Jul 1, 2020","Jun 30, 2023"
George Cox,€900k,Left-Back,"Jan 14, 1998 (25)",England,"1,71m",left,"Jul 6, 2020","Jun 30, 2023"
Rémy Vita,€800k,Left-Back,"Apr 1, 2001 (22)",Madagascar,"1,70m",left,"Jul 5, 2022","Jun 30, 2026"
Ximo Navarro,€700k,Right-Back,"Jan 23, 1990 (33)",Spain,"1,76m",right,"Sep 14, 2022","Jun 30, 2023"
Ivo Pinto,€500k,Right-Back,"Jan 7, 1990 (33)",Portugal,"1,82m",right,"Jul 1, 2022","Jun 30, 2023"
Mike van Beijnen,€175k,Right-Back,"Mar 13, 1999 (24)",Netherlands,"1,87m",right,"Aug 17, 2020","Jun 30, 2023"
Dogan Erdogan,€1.10m,Defensive Midfield,"Aug 22, 1996 (26)",Turkey,"1,82m",right,"Jul 7, 2022","Jun 30, 2025"
Kristijan Bistrovic,€2.60m,Central Midfield,"Apr 9, 1998 (24)",Croatia,"1,83m",right,"Jan 19, 2023","Jun 30, 2023"
Oguzhan Özyakup,€1.00m,Central Midfield,"Sep 23, 1992 (30)",Turkey,"1,80m",right,"Sep 1, 2022","Jun 30, 2024"
Deroy Duarte,€750k,Central Midfield,"Jul 4, 1999 (23)",Cape Verde,"1,77m",right,"Aug 12, 2021","Jun 30, 2024"
Arianit Ferati,€650k,Attacking Midfield,"Sep 7, 1997 (25)",Kosovo,"1,68m",left,"Jul 29, 2021","Jun 30, 2024"
Richie Musaba,€200k,Attacking Midfield,"Dec 6, 2000 (22)",Netherlands,"1,77m",right,"Sep 4, 2020","Jun 30, 2023"
Iñigo Córdoba,€2.50m,Left Winger,"Mar 13, 1997 (26)",Spain,"1,80m",left,"Jul 22, 2022","Jun 30, 2024"
Gianmarco Cangiano,€800k,Left Winger,"Nov 16, 2001 (21)",Italy,"1,76m",right,"Jan 11, 2023","Jun 30, 2023"
Úmaro Embaló,€1.50m,Right Winger,"May 6, 2001 (21)",Portugal,"1,70m",left,"Aug 31, 2022","Jun 30, 2026"
Tijjani Noslin,€450k,Right Winger,"Jul 7, 1999 (23)",Netherlands,-,,"Aug 11, 2021","Jun 30, 2026"
Tunahan Tasci,€50k,Right Winger,"Apr 29, 2002 (20)",Turkey,"1,72m",left,"Jul 1, 2022","Jun 30, 2026"
Burak Yilmaz,€1.00m,Centre-Forward,"Jul 15, 1985 (37)",Turkey,"1,88m",right,"Jul 1, 2022","Jun 30, 2024"
Thomas Buitink,€700k,Centre-Forward,"Jun 14, 2000 (22)",Netherlands,"1,74m",right,"Jan 1, 2023","Jun 30, 2023"
Paul Gladon,€450k,Centre-Forward,"Mar 18, 1992 (31)",Netherlands,"1,88m",right,"Feb 4, 2022","Jun 30, 2024"
