name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Jasper Cillessen,€3.00m,Goalkeeper,"Apr 22, 1989 (33)",Netherlands,"1,87m",right,"Aug 8, 2022","Jun 30, 2025"
Mattijs Branderhorst,€600k,Goalkeeper,"Dec 31, 1993 (29)",Netherlands,"1,92m",right,"Jul 1, 2019","Jun 30, 2023"
Robin Roefs,€75k,Goalkeeper,"Jan 17, 2003 (20)",Netherlands,"1,93m",left,"Jul 1, 2021","Jun 30, 2024"
Rijk Janse,€25k,Goalkeeper,"Apr 16, 2002 (20)",Netherlands,"1,89m",right,-,-
Philippe Sandler,€2.00m,Centre-Back,"Feb 10, 1997 (26)",Netherlands,"1,90m",right,"Aug 11, 2022","Jun 30, 2025"
Iván Márquez,€850k,Centre-Back,"Jun 9, 1994 (28)",Spain,"1,91m",right,"Jul 19, 2021","Jun 30, 2023"
Joris Kramer,€650k,Centre-Back,"Aug 2, 1996 (26)",Netherlands,"1,87m",left,"Jul 1, 2022","Jun 30, 2025"
Guus Gertsen,€25k,Centre-Back,"Apr 16, 2003 (19)",Netherlands,"1,89m",right,"Jul 1, 2022","Jun 30, 2023"
Souffian El Karouani,€1.40m,Left-Back,"Oct 19, 2000 (22)",Morocco,"1,78m",left,"Jul 1, 2019","Jun 30, 2023"
Calvin Verdonk,€800k,Left-Back,"Apr 26, 1997 (25)",Netherlands,"1,74m",left,"Jul 6, 2022","Jun 30, 2024"
Bart van Rooij,€900k,Right-Back,"May 26, 2001 (21)",Netherlands,"1,74m",right,"Jul 1, 2019","Jun 30, 2023"
Ilias Bronkhorst,€250k,Right-Back,"May 10, 1997 (25)",Netherlands,"1,85m",right,"Jul 1, 2021","Jun 30, 2023"
Terry Lartey Sanniez,€150k,Right-Back,"Aug 10, 1996 (26)",Netherlands,"1,74m",right,"Aug 31, 2022","Jun 30, 2023"
Lasse Schöne,€300k,Defensive Midfield,"May 27, 1986 (36)",Denmark,"1,78m",right,"Jul 1, 2021","Jun 30, 2024"
Dirk Proper,€2.00m,Central Midfield,"Feb 24, 2002 (21)",Netherlands,"1,67m",right,"Jan 6, 2020","Jun 30, 2025"
Andri Fannar Baldursson,€500k,Central Midfield,"Jan 10, 2002 (21)",Iceland,"1,87m",right,"Jul 6, 2022","Jun 30, 2023"
Mathias De Wolf,€125k,Central Midfield,"Feb 21, 2002 (21)",Belgium,"1,87m",left,"Jul 9, 2020","Jun 30, 2023"
Oussama Tannane,€950k,Attacking Midfield,"Apr 23, 1994 (28)",Morocco,"1,78m",left,"Jul 1, 2022","Jun 30, 2024"
Jordy Bruijn,€700k,Attacking Midfield,"Jul 23, 1996 (26)",Netherlands,"1,71m",right,"Jul 1, 2020","Jun 30, 2023"
Nils Rossen,€50k,Attacking Midfield,"Aug 1, 2005 (17)",Netherlands,-,left,"Jul 1, 2022","Jun 30, 2024"
Kas de Wit,€25k,Attacking Midfield,"Jul 26, 2003 (19)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2023"
Magnus Mattsson,€650k,Left Winger,"Feb 25, 1999 (24)",Denmark,"1,74m",both,"Jul 1, 2021","Jun 30, 2024"
Ibrahim Cissoko,€500k,Left Winger,"Mar 26, 2003 (19)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2024"
Elayis Tavsan,€1.60m,Right Winger,"Apr 30, 2001 (21)",Netherlands,"1,83m",left,"Jul 1, 2020","Jun 30, 2023"
Anthony Musaba,€900k,Right Winger,"Dec 6, 2000 (22)",Netherlands,"1,82m",both,"Jan 4, 2023","Jun 30, 2023"
Landry Dimata,€2.00m,Centre-Forward,"Sep 1, 1997 (25)",Belgium,"1,85m",right,"Aug 30, 2022","Jun 30, 2023"
Pedro Marques,€650k,Centre-Forward,"Apr 25, 1998 (24)",Portugal,"1,81m",right,"Jul 1, 2022","Jun 30, 2025"
