name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Michael Verrips,€800k,Goalkeeper,"Dec 3, 1996 (26)",Netherlands,"1,96m",right,"Jul 2, 2022","Jun 30, 2023"
Peter Leeuwenburgh,€500k,Goalkeeper,"Mar 23, 1994 (28)",Netherlands,"1,96m",right,"Jul 1, 2021","Jun 30, 2023"
Jan de Boer,€25k,Goalkeeper,"May 20, 2000 (22)",Netherlands,"1,99m",right,"Aug 29, 2019","Jun 30, 2023"
Mads Bech Sörensen,€4.00m,Centre-Back,"Jan 7, 1999 (24)",Denmark,"1,93m",left,"Jan 19, 2023","Jun 30, 2023"
Radinio Balker,€1.30m,Centre-Back,"Sep 3, 1998 (24)",Netherlands,"1,93m",right,"Jul 1, 2021","Jun 30, 2024"
Thijmen Blokzijl,€1.00m,Centre-Back,"Feb 25, 2005 (18)",Netherlands,"1,90m",right,"Jan 1, 2023","Jun 30, 2026"
Matej Chalus,€600k,Centre-Back,"Feb 2, 1998 (25)",Czech Republic,"1,90m",right,"Jan 27, 2023","Jun 30, 2023"
Nordin Musampa,€500k,Centre-Back,"Oct 13, 2001 (21)",Netherlands,"1,79m",left,"Jul 1, 2022","Jun 30, 2025"
Jetro Willems,€800k,Left-Back,"Mar 30, 1994 (28)",Netherlands,"1,77m",left,"Feb 23, 2023","Jun 30, 2023"
Isak Dybvik Määttä,€600k,Left-Back,"Sep 19, 2001 (21)",Norway,"1,88m",left,"Aug 1, 2022","Jun 30, 2026"
Liam van Gelderen,€600k,Right-Back,"Mar 23, 2001 (21)",Netherlands,"1,78m",right,"Jul 1, 2022","Jun 30, 2026"
Damil Dankerlui,€500k,Right-Back,"Aug 24, 1996 (26)",Suriname,"1,72m",right,"Jul 27, 2020","Jun 30, 2024"
Laros Duarte,€1.50m,Defensive Midfield,"Feb 28, 1997 (26)",Netherlands,"1,80m",right,"Aug 31, 2021","Jun 30, 2025"
Joey Pelupessy,€450k,Defensive Midfield,"May 15, 1993 (29)",Netherlands,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Emmanuel Matuta,€350k,Defensive Midfield,"Feb 22, 2002 (21)",Belgium,"1,77m",both,"Jan 20, 2022","Jun 30, 2026"
Johan Hove,€2.30m,Central Midfield,"Sep 7, 2000 (22)",Norway,"1,77m",right,"Jan 17, 2023","Jun 30, 2026"
Aimar Sher,€1.00m,Central Midfield,"Dec 20, 2002 (20)",Sweden,"1,75m",right,"Jan 17, 2023","Jun 30, 2024"
Jorg Schreuders,€25k,Central Midfield,"Sep 9, 2004 (18)",Netherlands,-,,"Jan 1, 2023","Jun 30, 2024"
Tomas Suslov,€2.50m,Attacking Midfield,"Jun 7, 2002 (20)",Slovakia,"1,73m",left,"Jul 1, 2020","Jun 30, 2026"
Daleho Irandust,€1.00m,Attacking Midfield,"Jun 4, 1998 (24)",Sweden,"1,85m",left,"Aug 31, 2021","Jun 30, 2026"
Luciano Valente,€400k,Attacking Midfield,"Oct 4, 2003 (19)",Italy,"1,89m",right,"Jul 1, 2022","Jun 30, 2026"
Paulos Abraham,€1.20m,Left Winger,"Jul 16, 2002 (20)",Sweden,"1,78m",both,"Jul 1, 2021","Jun 30, 2026"
Ragnar Oratmangoen,€550k,Left Winger,"Jan 21, 1998 (25)",Netherlands,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Oliver Antman,€700k,Right Winger,"Aug 15, 2001 (21)",Finland,"1,85m",right,"Jan 31, 2023","Jun 30, 2023"
Ricardo Pepi,€9.00m,Centre-Forward,"Jan 9, 2003 (20)",United States,"1,85m",right,"Aug 31, 2022","Jun 30, 2023"
Florian Krüger,€1.20m,Centre-Forward,"Feb 13, 1999 (24)",Germany,"1,86m",,"Aug 30, 2022","Jun 30, 2026"
Elvis Manu,€600k,Centre-Forward,"Aug 13, 1993 (29)",Netherlands,"1,79m",right,"Jan 31, 2023","Jun 30, 2023"
Thom van Bergen,€150k,Centre-Forward,"Jan 6, 2004 (19)",Netherlands,-,right,"Jan 1, 2023","Jun 30, 2025"
