name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Vasilios Barkas,€3.00m,Goalkeeper,"May 30, 1994 (28)",Greece,"1,96m",left,"Jul 1, 2022","Jun 30, 2023"
Fabian de Keijzer,€800k,Goalkeeper,"May 10, 2000 (22)",Netherlands,"1,93m",right,"Jul 1, 2020","Jun 30, 2024"
Thijmen Nijhuis,€200k,Goalkeeper,"Jul 25, 1998 (24)",Netherlands,"1,97m",right,"Jul 1, 2019","Jun 30, 2023"
Calvin Raatsie,€200k,Goalkeeper,"Feb 9, 2002 (21)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2025"
Modibo Sagnan,€3.00m,Centre-Back,"Apr 14, 1999 (23)",France,"1,87m",left,"Jul 11, 2022","Jun 30, 2023"
Mike van der Hoorn,€1.50m,Centre-Back,"Oct 15, 1992 (30)",Netherlands,"1,90m",right,"Jul 1, 2022","Jun 30, 2024"
Tommy St. Jago,€800k,Centre-Back,"Jan 3, 2000 (23)",Netherlands,"1,86m",right,"Jul 1, 2020","Jun 30, 2024"
Ramon Hendriks,€800k,Centre-Back,"Jul 18, 2001 (21)",Netherlands,"1,89m",left,"Jul 1, 2022","Jun 30, 2023"
Nick Viergever,€800k,Centre-Back,"Aug 3, 1989 (33)",Netherlands,"1,83m",left,"Jul 1, 2022","Jun 30, 2024"
Mark van der Maarel,€400k,Centre-Back,"Aug 12, 1989 (33)",Netherlands,"1,77m",right,"Jul 1, 2009","Jun 30, 2023"
Ruben Kluivert,€300k,Centre-Back,"May 21, 2001 (21)",Netherlands,"1,78m",right,"Jul 1, 2022","Jun 30, 2024"
Django Warmerdam,€1.00m,Left-Back,"Sep 2, 1995 (27)",Netherlands,"1,80m",left,"Jul 1, 2020","Jun 30, 2023"
Sean Klaiber,€2.80m,Right-Back,"Jul 31, 1994 (28)",Suriname,"1,84m",right,"Aug 29, 2022","Jun 30, 2025"
Hidde ter Avest,€1.50m,Right-Back,"May 20, 1997 (25)",Netherlands,"1,82m",right,"Jan 13, 2021","Jun 30, 2024"
Luuk Brouwers,€1.50m,Defensive Midfield,"May 3, 1998 (24)",Netherlands,"1,83m",right,"Jul 1, 2022","Jun 30, 2027"
Jens Toornstra,€1.00m,Defensive Midfield,"Apr 4, 1989 (33)",Netherlands,"1,78m",right,"Aug 23, 2022","Jun 30, 2024"
Taylor Booth,€6.00m,Central Midfield,"May 31, 2001 (21)",United States,"1,74m",right,"Jul 1, 2022","Jun 30, 2025"
Can Bozdogan,€4.00m,Central Midfield,"Apr 5, 2001 (21)",Germany,"1,74m",left,"Jul 26, 2022","Jun 30, 2023"
Rocco Robert Shein,€250k,Central Midfield,"Jul 14, 2003 (19)",Estonia,"1,85m",both,"Jul 1, 2022","Jun 30, 2025"
Bart Ramselaar,€3.80m,Attacking Midfield,"Jun 29, 1996 (26)",Netherlands,"1,78m",right,"Aug 24, 2019","Jun 30, 2025"
Zakaria Labyad,€2.50m,Attacking Midfield,"Mar 9, 1993 (30)",Morocco,"1,75m",both,"Feb 20, 2023","Jun 30, 2024"
Sander van de Streek,€1.40m,Attacking Midfield,"Mar 24, 1993 (29)",Netherlands,"1,80m",right,"Jul 1, 2017","Jun 30, 2023"
Victor Jensen,€1.00m,Attacking Midfield,"Feb 8, 2000 (23)",Denmark,"1,75m",both,"Jan 31, 2023","Jun 30, 2026"
Amin Younes,€1.50m,Left Winger,"Aug 6, 1993 (29)",Germany,"1,68m",right,"Aug 31, 2022","Jun 30, 2023"
Othmane Boussaid,€1.40m,Left Winger,"Mar 7, 2000 (23)",Belgium,"1,66m",right,"Jul 1, 2018","Jun 30, 2024"
Derensili Sanches Fernandes,€150k,Left Winger,"May 28, 2001 (21)",Netherlands,-,,-,"Jun 30, 2023"
Naoki Maeda,€900k,Right Winger,"Nov 17, 1994 (28)",Japan,"1,76m",left,"Jan 1, 2022","Jun 30, 2023"
Anastasios Douvikas,€6.00m,Centre-Forward,"Aug 2, 1999 (23)",Greece,"1,86m",right,"Jul 1, 2021","Jun 30, 2025"
Bas Dost,€1.80m,Centre-Forward,"May 31, 1989 (33)",Netherlands,"1,96m",right,"Jul 1, 2022","Jun 30, 2023"
Anthony Descotte,€400k,Centre-Forward,"Aug 3, 2003 (19)",Belgium,"1,80m",right,"Jan 31, 2023","Jun 30, 2023"
