name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Kjell Scherpen,€2.00m,Goalkeeper,"Jan 23, 2000 (23)",Netherlands,"2,06m",right,"Aug 16, 2022","Jun 30, 2023"
Markus Schubert,€600k,Goalkeeper,"Jun 12, 1998 (24)",Germany,"1,87m",right,"Jul 14, 2021","Jun 30, 2024"
Daan Reiziger,€350k,Goalkeeper,"Jun 18, 2001 (21)",Netherlands,"1,87m",right,"Jul 1, 2021","Jun 30, 2024"
Jeroen Houwen,€300k,Goalkeeper,"Feb 18, 1996 (27)",Netherlands,"1,88m",right,"Jul 1, 2016","Jun 30, 2023"
Nigel van Haveren,€25k,Goalkeeper,"Aug 14, 2003 (19)",Netherlands,-,right,"Jul 1, 2022",-
Ryan Flamingo,€2.00m,Centre-Back,"Dec 31, 2002 (20)",Netherlands,"1,86m",right,"Jul 18, 2022","Jun 30, 2023"
Melle Meulensteen,€1.80m,Centre-Back,"Jul 4, 1999 (23)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2026"
Dominik Oroz,€600k,Centre-Back,"Oct 29, 2000 (22)",Croatia,"1,92m",right,"Jan 5, 2021","Jun 30, 2024"
Enzo Cornelisse,€600k,Centre-Back,"Jun 29, 2002 (20)",Netherlands,-,left,"Aug 24, 2020","Jun 30, 2024"
Tomas Hajek,€400k,Centre-Back,"Dec 1, 1991 (31)",Czech Republic,"1,87m",left,"Jul 1, 2019","Jun 30, 2023"
Nicolas Isimat-Mirin,€400k,Centre-Back,"Nov 15, 1991 (31)",France,"1,87m",right,"Jan 10, 2023","Jun 30, 2024"
Maximilian Wittek,€2.00m,Left-Back,"Aug 21, 1995 (27)",Germany,"1,73m",left,"Jul 21, 2020","Jun 30, 2024"
Mitchell Dijks,€2.00m,Left-Back,"Feb 9, 1993 (30)",Netherlands,"1,94m",left,"Sep 2, 2022","Jun 30, 2023"
Carlens Arcus,€1.80m,Right-Back,"Jun 28, 1996 (26)",Haiti,"1,76m",right,"Jul 1, 2022","Jun 30, 2025"
Romaric Yapi,€250k,Right-Back,"Jul 13, 2000 (22)",France,"1,78m",right,"Jul 11, 2021","Jun 30, 2024"
Kacper Kozlowski,€8.00m,Central Midfield,"Oct 16, 2003 (19)",Poland,"1,82m",right,"Aug 25, 2022","Jun 30, 2023"
Matus Bero,€2.50m,Central Midfield,"Sep 6, 1995 (27)",Slovakia,"1,81m",right,"Jul 3, 2018","Jun 30, 2023"
Sondre Tronstad,€2.00m,Central Midfield,"Aug 26, 1995 (27)",Norway,"1,74m",right,"Jan 24, 2020","Jun 30, 2023"
Marco van Ginkel,€1.40m,Central Midfield,"Dec 1, 1992 (30)",Netherlands,"1,86m",right,"Jan 31, 2023","Jun 30, 2024"
Toni Domgjoni,€1.20m,Central Midfield,"Sep 4, 1998 (24)",Kosovo,"1,79m",right,"Jul 1, 2021","Jun 30, 2024"
Davy Pröpper,€700k,Central Midfield,"Sep 2, 1991 (31)",Netherlands,"1,85m",right,"Jan 27, 2023","Jun 30, 2024"
Gabriel Vidovic,€3.00m,Attacking Midfield,"Dec 1, 2003 (19)",Croatia,"1,80m",right,"Aug 30, 2022","Jun 30, 2023"
Gyan de Regt,€100k,Left Winger,"Aug 18, 2003 (19)",Netherlands,"1,76m",,"Jan 12, 2022","Jun 30, 2025"
Million Manhoef,€1.80m,Right Winger,"Jan 3, 2002 (21)",Netherlands,"1,79m",left,"Aug 7, 2020","Jun 30, 2025"
Miliano Jonathans,€25k,Right Winger,"Apr 5, 2004 (18)",Netherlands,-,left,"Sep 1, 2022","Jun 30, 2025"
Bartosz Bialek,€3.00m,Centre-Forward,"Nov 11, 2001 (21)",Poland,"1,91m",right,"Aug 29, 2022","Jun 30, 2023"
Mohamed Sankoh,€800k,Centre-Forward,"Oct 16, 2003 (19)",Netherlands,"1,83m",right,"Jul 22, 2022","Jun 30, 2023"
Simon van Duivenbooden,€25k,Centre-Forward,"May 11, 2002 (20)",Netherlands,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
