name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Mickey van der Hart,€600k,Goalkeeper,"Jun 13, 1994 (28)",Netherlands,"1,88m",left,"Aug 24, 2022","Jun 30, 2023"
Eric Oelschlägel,€500k,Goalkeeper,"Sep 20, 1995 (27)",Germany,"1,93m",right,"Jul 15, 2022","Jun 30, 2024"
Kyan van Dorp,€50k,Goalkeeper,"May 17, 2000 (22)",Netherlands,"1,87m",right,"Jul 16, 2021","Jun 30, 2024"
Max Wolfs,€25k,Goalkeeper,"May 4, 2002 (20)",Netherlands,"1,90m",right,"Jul 1, 2022",-
Miguel Araujo,€750k,Centre-Back,"Oct 24, 1994 (28)",Peru,"1,81m",right,"Oct 4, 2019","Jun 30, 2024"
Mike te Wierik,€500k,Centre-Back,"Jun 8, 1992 (30)",Netherlands,"1,91m",right,"Feb 1, 2023","Jun 30, 2025"
Julius Dirksen,€400k,Centre-Back,"Feb 2, 2003 (20)",Netherlands,"1,85m",left,"Jan 31, 2022","Jun 30, 2023"
Jeroen Veldmate,€350k,Centre-Back,"Nov 8, 1988 (34)",Netherlands,"1,91m",left,"Jul 1, 2021","Jun 30, 2023"
Michaël Heylen,€275k,Centre-Back,"Jan 3, 1994 (29)",Belgium,"1,87m",right,"Jul 6, 2022","Jun 30, 2024"
Dennis Vos,€350k,Left-Back,"Nov 28, 2001 (21)",Netherlands,"1,81m",left,"Jan 27, 2023","Jun 30, 2024"
Jeff Hardeveld,€325k,Left-Back,"Feb 27, 1995 (28)",Netherlands,"1,84m",left,"Jul 1, 2021","Jun 30, 2023"
Lorenzo Burnet,€275k,Left-Back,"Jan 11, 1991 (32)",Netherlands,"1,70m",left,"Jul 15, 2021","Jun 30, 2023"
Mohamed Bouchouari,€500k,Right-Back,"Nov 15, 2000 (22)",Belgium,"1,70m",right,"Aug 31, 2022","Jun 30, 2023"
Keziah Veendorp,€450k,Right-Back,"Feb 17, 1997 (26)",Netherlands,"1,87m",right,"Oct 14, 2021","Jun 30, 2023"
Arnaud Luzayadio,€200k,Right-Back,"Jul 19, 1999 (23)",France,"1,76m",right,"Jul 26, 2021","Jun 30, 2023"
Lucas Bernadou,€750k,Defensive Midfield,"Sep 24, 2000 (22)",France,"1,78m",right,"Jul 22, 2020","Jun 30, 2024"
Ahmed El Messaoudi,€675k,Defensive Midfield,"Aug 3, 1995 (27)",Morocco,"1,82m",right,"Aug 30, 2022","Jun 30, 2024"
Maikel Kieftenbeld,€400k,Defensive Midfield,"Jun 26, 1990 (32)",Netherlands,"1,79m",right,"Jul 1, 2022","Jun 30, 2024"
Jari Vlak,€500k,Central Midfield,"Aug 15, 1998 (24)",Netherlands,"1,91m",right,"Jan 11, 2021","Jun 30, 2025"
Mark Diemers,€1.50m,Attacking Midfield,"Oct 11, 1993 (29)",Netherlands,"1,75m",right,"Aug 11, 2022","Jun 30, 2023"
Azzeddine Toufiqui,€275k,Attacking Midfield,"Apr 25, 1999 (23)",France,"1,75m",left,"Jul 26, 2021","Jun 30, 2023"
Ben Scholte,€150k,Attacking Midfield,"Aug 10, 2001 (21)",Netherlands,"1,85m",right,"Jul 1, 2021","Jun 30, 2023"
Jasin Assehnoun,€350k,Left Winger,"Dec 26, 1998 (24)",Finland,"1,75m",both,"Jul 14, 2021","Jun 30, 2023"
Jeremy Antonisse,€300k,Left Winger,"Mar 29, 2002 (21)",Curacao,"1,84m",right,"Jan 31, 2023","Jun 30, 2023"
Rui Mendes,€700k,Right Winger,"Nov 10, 1999 (23)",Portugal,"1,79m",both,"Jul 30, 2021","Jun 30, 2025"
Ole Romeny,€750k,Centre-Forward,"Jun 20, 2000 (22)",Netherlands,"1,85m",right,"Jan 27, 2022","Jun 30, 2023"
Oussama Darfalou,€700k,Centre-Forward,"Sep 29, 1993 (29)",Algeria,"1,87m",right,"Jan 13, 2023","Jun 30, 2024"
Richairo Zivkovic,€400k,Centre-Forward,"Sep 5, 1996 (26)",Curacao,"1,87m",right,"Jul 25, 2022","Jun 30, 2023"
Danny Hoesen,€400k,Centre-Forward,"Jan 15, 1991 (32)",Netherlands,"1,86m",right,"Feb 13, 2023","Jun 30, 2023"
Metehan Güçlü,€300k,Centre-Forward,"Apr 2, 1999 (24)",Turkey,"1,82m",left,"Jul 22, 2022","Jun 30, 2023"
Mart Lieder,€275k,Centre-Forward,"May 1, 1990 (32)",Netherlands,"1,88m",right,"Jan 27, 2022","Jun 30, 2023"
