name,price,position,dob,nationality,height,foot,join_date,contract_expiration
César,€200k,Goalkeeper,"Jan 27, 1992 (31)",Brazil,"1,92m",right,"Jul 20, 2022","Jun 30, 2024"
Rafael Bracali,€100k,Goalkeeper,"May 5, 1981 (41)",Brazil,"1,85m",right,"Jul 1, 2018","Jun 30, 2023"
João Gonçalves,€100k,Goalkeeper,"Nov 5, 2000 (22)",Portugal,"1,88m",right,"Jul 1, 2021","Jun 30, 2025"
Bruno Onyemaechi,€1.00m,Centre-Back,"Apr 3, 1999 (23)",Nigeria,"1,84m",left,"Aug 17, 2022","Jun 30, 2023"
Rodrigo Abascal,€800k,Centre-Back,"Jan 14, 1994 (29)",Uruguay,"1,90m",left,"Aug 1, 2021","Jun 30, 2024"
Vincent Sasso,€500k,Centre-Back,"Feb 16, 1991 (32)",France,"1,90m",right,"Jul 1, 2022","Jun 30, 2024"
Robson Reis,€150k,Centre-Back,"May 21, 2000 (22)",Brazil,"1,96m",right,"Jul 2, 2022","Jun 30, 2023"
Ricardo Mangas,€1.00m,Left-Back,"Mar 19, 1998 (25)",Portugal,"1,79m",left,"Aug 4, 2020","Jun 30, 2025"
Filipe Ferreira,€300k,Left-Back,"Sep 27, 1990 (32)",Portugal,"1,78m",left,"Jul 12, 2021","Jun 30, 2023"
Augusto Dabo,€100k,Left-Back,"Mar 13, 2004 (19)",Portugal,"1,86m",left,"Jul 1, 2022","Jun 30, 2023"
Reggie Cannon,€4.00m,Right-Back,"Jun 11, 1998 (24)",United States,"1,80m",right,"Sep 9, 2020","Jun 30, 2025"
Pedro Malheiro,€1.00m,Right-Back,"Jan 21, 2001 (22)",Portugal,"1,79m",right,"Jul 1, 2021","Jun 30, 2025"
Ibrahima,€600k,Defensive Midfield,"Jan 25, 1999 (24)",Guinea,"1,90m",right,"Aug 30, 2022","Jun 30, 2026"
Ilija Vukotic,€400k,Defensive Midfield,"Jan 7, 1999 (24)",Montenegro,"1,91m",left,"Jul 1, 2022","Jun 30, 2025"
Gaius Makouta,€2.00m,Central Midfield,"Jul 25, 1997 (25)",Congo,"1,80m",right,"Jul 27, 2021","Jun 30, 2024"
Seba Pérez,€1.50m,Central Midfield,"Mar 29, 1993 (29)",Colombia,"1,75m",right,"Aug 31, 2021","Jun 30, 2025"
Miguel Reisinho,€200k,Central Midfield,"Apr 9, 1999 (23)",Portugal,"1,84m",left,"Sep 2, 2019","Jun 30, 2025"
Joel Silva,€100k,Central Midfield,"Feb 11, 2003 (20)",Portugal,"1,85m",left,"Jul 1, 2022","Jun 30, 2026"
Masa,€600k,Attacking Midfield,"Jul 18, 1999 (23)",Japan,"1,68m",right,"Jul 14, 2022","Jun 30, 2023"
Berna,€100k,Attacking Midfield,"Sep 15, 2003 (19)",Portugal,"1,69m",left,"Jul 1, 2021","Jun 30, 2024"
Kenji Gorré,€800k,Left Winger,"Sep 29, 1994 (28)",Curacao,"1,78m",right,"Jul 22, 2021","Jun 30, 2023"
Adalberto Peñaranda,€600k,Left Winger,"May 31, 1997 (25)",Venezuela,"1,86m",right,"Sep 1, 2022","Jun 30, 2025"
Salvador Agra,€500k,Left Winger,"Nov 11, 1991 (31)",Portugal,"1,66m",right,"Jul 1, 2022","Jun 30, 2024"
Bruno Lourenço,€600k,Right Winger,"Feb 2, 1998 (25)",Portugal,"1,79m",left,"Jul 1, 2022","Jun 30, 2025"
Luís Santos,€300k,Right Winger,"Jan 20, 2000 (23)",Portugal,"1,76m",right,"Jul 1, 2021","Jun 30, 2024"
Yusupha Njie,€1.50m,Centre-Forward,"Mar 1, 1994 (29)",The Gambia,"1,88m",right,"Jul 1, 2018","Jun 30, 2023"
Robert Bozenik,€1.00m,Centre-Forward,"Nov 18, 1999 (23)",Slovakia,"1,88m",right,"Jul 13, 2022","Jun 30, 2023"
Martim Tavares,€400k,Centre-Forward,"Nov 10, 2003 (19)",Portugal,"1,83m",right,"Jul 1, 2022","Jun 30, 2024"
