name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Fabijan Buntic,€800k,Goalkeeper,"Feb 24, 1997 (26)",Croatia,"1,94m",left,"Jul 3, 2022","Jun 30, 2025"
Luiz Felipe,€300k,Goalkeeper,"Apr 24, 1997 (25)",Brazil,"1,98m",left,"Aug 9, 2022","Jun 30, 2026"
Manuel Baldé,€100k,Goalkeeper,"Nov 14, 2002 (20)",Guinea-Bissau,"1,94m",right,"Jul 1, 2022","Jun 30, 2024"
Bruno Wilson,€900k,Centre-Back,"Dec 27, 1996 (26)",Portugal,"1,92m",right,"Jul 1, 2021","Jun 30, 2024"
Ivanildo Fernandes,€800k,Centre-Back,"Mar 26, 1996 (26)",Cape Verde,"1,94m",left,"Aug 19, 2021","Jun 30, 2024"
Anderson Jesus,€800k,Centre-Back,"Mar 2, 1995 (28)",Brazil,"1,86m",right,"Jan 1, 2022","Jun 30, 2024"
Mohamed Aidara,€400k,Centre-Back,"Nov 6, 1996 (26)",Cote d'Ivoire,"1,88m",right,"Jul 1, 2017","Jun 30, 2023"
Kiki,€600k,Left-Back,"Dec 10, 1994 (28)",Portugal,"1,83m",left,"Aug 14, 2019","Jun 30, 2023"
Matheus Pereira,€400k,Left-Back,"Dec 21, 2000 (22)",Brazil,"1,72m",left,"Jul 30, 2022","Jun 30, 2025"
Igor Julião,€500k,Right-Back,"Aug 23, 1994 (28)",Brazil,"1,75m",right,"Jul 27, 2021","Jun 30, 2023"
Claudemir,€200k,Defensive Midfield,"Mar 27, 1988 (34)",Brazil,"1,85m",right,"Jul 27, 2021","Jun 30, 2023"
Raphael Guzzo,€700k,Central Midfield,"Jan 6, 1995 (28)",Portugal,"1,78m",right,"Feb 1, 2021","Jun 30, 2023"
Osama Rashid,€600k,Central Midfield,"Jan 13, 1992 (31)",Iraq,"1,78m",right,"Jan 24, 2022","Jun 30, 2023"
Tomás Silva,€500k,Central Midfield,"Oct 15, 1999 (23)",Portugal,"1,72m",right,"Jul 1, 2021","Jun 30, 2024"
Alejandro Alvarado,€300k,Central Midfield,"Jul 29, 2003 (19)",United States,"1,80m",right,"Jul 1, 2021","Jun 30, 2026"
Pedro Ortiz,€150k,Central Midfield,"Aug 19, 2000 (22)",Spain,"1,84m",left,"Jan 17, 2023","Jun 30, 2023"
Samu,€1.00m,Attacking Midfield,"Apr 21, 1996 (26)",Portugal,"1,70m",left,"Jul 1, 2019","Jun 30, 2024"
Alex Méndez,€800k,Attacking Midfield,"Sep 6, 2000 (22)",United States,"1,78m",left,"Jul 3, 2021","Jun 30, 2024"
Monsuru Opeyemi,€100k,Attacking Midfield,"Aug 11, 2003 (19)",Nigeria,"1,71m",right,-,"Jun 30, 2024"
Kiko Bondoso,€900k,Left Winger,"Nov 17, 1995 (27)",Portugal,"1,71m",right,"Jul 1, 2019","Jun 30, 2024"
Kévin Zohi,€800k,Right Winger,"Dec 19, 1996 (26)",Mali,"1,80m",right,"Jul 23, 2021","Jun 30, 2024"
Nuno Moreira,€700k,Right Winger,"Jun 16, 1999 (23)",Portugal,"1,75m",right,"Jul 1, 2021","Jun 30, 2024"
Matías Lacava,€300k,Right Winger,"Oct 10, 2002 (20)",Venezuela,"1,67m",left,"Jan 16, 2023","Jun 30, 2023"
Milutin Osmajic,€1.50m,Centre-Forward,"Jul 25, 1999 (23)",Montenegro,"1,86m",both,"Aug 10, 2022","Jun 30, 2023"
Alexander Schmidt,€400k,Centre-Forward,"Jan 19, 1998 (25)",Austria,"1,93m",right,"Sep 1, 2022","Jun 30, 2024"
Etim,€300k,Centre-Forward,"May 21, 2002 (20)",Nigeria,"1,86m",right,-,"Jun 30, 2025"
