name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Diogo Costa,€45.00m,Goalkeeper,"Sep 19, 1999 (23)",Portugal,"1,86m",right,"Jul 1, 2019","Jun 30, 2027"
Cláudio Ramos,€1.50m,Goalkeeper,"Nov 16, 1991 (31)",Portugal,"1,83m",right,"Aug 14, 2020","Jun 30, 2024"
Samuel,€1.50m,Goalkeeper,"Mar 29, 1994 (29)",Brazil,"1,88m",right,"Sep 1, 2022","Jun 30, 2027"
David Carmo,€16.00m,Centre-Back,"Jul 19, 1999 (23)",Portugal,"1,96m",left,"Jul 5, 2022","Jun 30, 2027"
Fábio Cardoso,€4.00m,Centre-Back,"Apr 19, 1994 (28)",Portugal,"1,87m",right,"Jul 1, 2021","Jun 30, 2026"
Pepe,€1.00m,Centre-Back,"Feb 26, 1983 (40)",Portugal,"1,87m",right,"Jan 8, 2019","Jun 30, 2023"
Marcano,€500k,Centre-Back,"Jun 23, 1987 (35)",Spain,"1,89m",left,"Jul 11, 2019","Jun 30, 2023"
Zaidu,€10.00m,Left-Back,"Jun 13, 1997 (25)",Nigeria,"1,82m",left,"Aug 30, 2020","Jun 30, 2027"
Wendell,€5.00m,Left-Back,"Jul 20, 1993 (29)",Brazil,"1,76m",left,"Aug 19, 2021","Jun 30, 2025"
João Mário,€16.00m,Right-Back,"Jan 3, 2000 (23)",Portugal,"1,78m",both,"Sep 1, 2020","Jun 30, 2027"
Wilson Manafá,€3.00m,Right-Back,"Jul 23, 1994 (28)",Portugal,"1,77m",right,"Jan 21, 2019","Jun 30, 2023"
Rodrigo Conceição,€1.50m,Right-Back,"Jan 2, 2000 (23)",Portugal,"1,75m",right,"Jul 1, 2022","Jun 30, 2024"
Mateus Uribe,€10.00m,Defensive Midfield,"Mar 21, 1991 (32)",Colombia,"1,82m",right,"Aug 4, 2019","Jun 30, 2023"
Marko Grujić,€9.00m,Defensive Midfield,"Apr 13, 1996 (26)",Serbia,"1,91m",right,"Jul 1, 2022","Jun 30, 2026"
Stephen Eustaquio,€10.00m,Central Midfield,"Dec 21, 1996 (26)",Canada,"1,77m",right,"Jul 1, 2022","Jun 30, 2027"
Bruno Costa,€2.00m,Central Midfield,"Apr 19, 1997 (25)",Portugal,"1,74m",right,"Jul 6, 2021","Jun 30, 2024"
Bernardo Folha,€1.00m,Central Midfield,"Mar 23, 2002 (21)",Portugal,"1,80m",right,"Jan 1, 2023","Jun 30, 2024"
Otávio,€30.00m,Attacking Midfield,"Feb 9, 1995 (28)",Portugal,"1,72m",right,"Sep 1, 2014","Jun 30, 2025"
André Franco,€3.50m,Attacking Midfield,"Apr 12, 1998 (24)",Portugal,"1,77m",left,"Aug 4, 2022","Jun 30, 2027"
Pepê,€22.00m,Left Winger,"Feb 24, 1997 (26)",Brazil,"1,75m",right,"Jul 1, 2021","Jun 30, 2027"
Galeno,€20.00m,Left Winger,"Oct 22, 1997 (25)",Brazil,"1,79m",right,"Jan 31, 2022","Jun 30, 2027"
Gabriel Veron,€12.00m,Left Winger,"Sep 3, 2002 (20)",Brazil,"1,76m",right,"Jul 22, 2022","Jun 30, 2027"
Fernando Andrade,€800k,Left Winger,"Jan 8, 1993 (30)",Brazil,"1,82m",right,"Jan 4, 2019","Jun 30, 2023"
Gonçalo Borges,€2.00m,Right Winger,"Mar 29, 2001 (22)",Portugal,"1,84m",right,-,"Jun 30, 2027"
Evanilson,€22.00m,Centre-Forward,"Oct 6, 1999 (23)",Brazil,"1,83m",both,"Sep 9, 2020","Jun 30, 2027"
Mehdi Taremi,€20.00m,Centre-Forward,"Jul 18, 1992 (30)",Iran,"1,85m",right,"Aug 31, 2020","Jun 30, 2024"
Toni Martínez,€7.00m,Centre-Forward,"Jun 30, 1997 (25)",Spain,"1,87m",right,"Oct 4, 2020","Jun 30, 2025"
Danny Namaso,€3.00m,Centre-Forward,"Aug 28, 2000 (22)",England,"1,82m",right,"Jul 1, 2022","Jun 30, 2025"
Lucas Paes,€200k,Goalkeeper,"Dec 7, 1997 (25)",Brazil,"1,93m",right,"Nov 4, 2020","Jun 30, 2024"
João Victor,€100k,Goalkeeper,"May 3, 1998 (24)",Brazil,"1,92m",right,"Jul 6, 2021","Jun 30, 2023"
Ricardo Batista,€100k,Goalkeeper,"Nov 19, 1986 (36)",Portugal,"1,92m",left,"Aug 31, 2020","Jun 30, 2023"
João Nunes,€700k,Centre-Back,"Nov 19, 1995 (27)",Portugal,"1,88m",right,"Jul 4, 2022","Jun 30, 2025"
Nermin Zolotic,€500k,Centre-Back,"Jul 7, 1993 (29)",Bosnia-Herzegovina,"1,89m",left,"Oct 6, 2020","Jun 30, 2023"
Tchamba,€400k,Centre-Back,"Jul 10, 1998 (24)",Cameroon,"1,91m",left,"Aug 31, 2022","Jun 30, 2023"
Léo Bolgado,€300k,Centre-Back,"Aug 20, 1998 (24)",Brazil,"1,90m",right,"Jul 1, 2022","Jun 30, 2025"
Fernando Varela,€300k,Centre-Back,"Nov 26, 1987 (35)",Cape Verde,"1,85m",right,"Jul 7, 2022","Jun 30, 2024"
Vasco Fernandes,€100k,Centre-Back,"Nov 12, 1986 (36)",Portugal,"1,82m",right,"Jul 1, 2021","Jun 30, 2023"
Isaac,€100k,Centre-Back,"Mar 4, 2004 (19)",Portugal,"1,93m",right,"Jul 1, 2022","Jun 30, 2024"
Leonardo Lelo,€1.50m,Left-Back,"Mar 30, 2000 (23)",Portugal,"1,75m",left,"Jul 1, 2021","Jun 30, 2025"
Derick Poloni,€200k,Left-Back,"Sep 1, 1993 (29)",Brazil,"1,73m",left,"Oct 1, 2020","Jun 30, 2023"
Lucas Soares,€600k,Right-Back,"May 4, 1998 (24)",Brazil,"1,76m",right,"Jul 1, 2022","Jun 30, 2025"
Eduardo Fereira,€400k,Right-Back,"Sep 29, 2000 (22)",Venezuela,"1,69m",right,"Jul 22, 2022","Jun 30, 2025"
Afonso Taira,€600k,Defensive Midfield,"Jun 17, 1992 (30)",Portugal,"1,77m",right,"Aug 31, 2021","Jun 30, 2023"
Cuca,€100k,Defensive Midfield,"Jan 9, 1991 (32)",Cape Verde,"1,77m",right,"Jul 1, 2021","Jun 30, 2023"
Romário Baró,€2.50m,Central Midfield,"Jan 25, 2000 (23)",Portugal,"1,79m",right,"Aug 23, 2022","Jun 30, 2023"
Beni,€525k,Central Midfield,"May 21, 2002 (20)",Angola,"1,80m",right,"Jan 27, 2023","Jun 30, 2027"
Neto,€250k,Central Midfield,"Sep 2, 1991 (31)",Brazil,"1,81m",right,"Jul 1, 2021","Jun 30, 2023"
Kuni,€1.00m,Attacking Midfield,"Oct 8, 1997 (25)",Japan,"1,72m",left,"Jul 27, 2022","Jun 30, 2024"
Diogo Pinto,€300k,Attacking Midfield,"Jun 29, 1999 (23)",Portugal,"1,75m",right,"Jul 1, 2022","Jun 30, 2024"
Saviour Godwin,€1.50m,Left Winger,"Aug 22, 1996 (26)",Nigeria,"1,73m",right,"Oct 8, 2020","Jun 30, 2024"
Yuki Soma,€1.20m,Left Winger,"Feb 25, 1997 (26)",Japan,"1,66m",right,"Jan 20, 2023","Jun 30, 2023"
Léo Natel,€400k,Left Winger,"Mar 14, 1997 (26)",Brazil,"1,79m",right,"Aug 1, 2022","Jun 30, 2023"
Kiki,€525k,Right Winger,"Feb 14, 1998 (25)",Portugal,"1,72m",left,"Jan 31, 2023","Jun 30, 2026"
Clayton,€600k,Centre-Forward,"Jan 11, 1999 (24)",Brazil,"1,84m",right,"Jul 26, 2022","Jun 30, 2026"
Felippe Cardoso,€450k,Centre-Forward,"Oct 4, 1998 (24)",Brazil,"1,87m",right,"Jan 24, 2023","Jun 30, 2026"
Rafael Martins,€200k,Centre-Forward,"Mar 17, 1989 (34)",Brazil,"1,77m",right,"Jul 27, 2022","Jun 30, 2024"
Gabriel Batista,€500k,Goalkeeper,"Jun 3, 1998 (24)",Brazil,"1,88m",right,"Aug 25, 2022","Jun 30, 2025"
Ricardo Fernandes,€200k,Goalkeeper,"Oct 28, 1994 (28)",Portugal,"1,93m",right,"Jul 1, 2021","Jun 30, 2024"
Marco Pereira,€200k,Goalkeeper,"Dec 1, 1987 (35)",Portugal,"1,84m",right,"Jul 1, 2017","Jun 30, 2024"
Marcos Díaz,€100k,Goalkeeper,"Feb 5, 1986 (37)",Argentina,"1,87m",right,"Jan 12, 2023",-
Ygor Nogueira,€900k,Centre-Back,"Mar 27, 1995 (28)",Brazil,"1,87m",right,"Jan 31, 2023","Jun 30, 2023"
Kennedy Boateng,€800k,Centre-Back,"Nov 29, 1996 (26)",Togo,"1,91m",right,"Jul 2, 2021","Jun 30, 2023"
Paulo Eduardo,€700k,Centre-Back,"Feb 14, 2002 (21)",Brazil,"1,87m",left,"Aug 6, 2022","Jun 30, 2026"
Ítalo,€300k,Centre-Back,"Feb 18, 2002 (21)",Brazil,"1,91m",left,"Sep 1, 2022","Jun 30, 2026"
Xavi Quintillà,€1.00m,Left-Back,"Aug 23, 1996 (26)",Spain,"1,77m",left,"Jul 3, 2022","Jun 30, 2024"
Paulo Henrique,€400k,Left-Back,"Oct 23, 1996 (26)",Portugal,"1,82m",right,"Jul 1, 2021","Jun 30, 2024"
Nanu,€1.50m,Right-Back,"May 17, 1994 (28)",Guinea-Bissau,"1,77m",right,"Jan 31, 2023","Jun 30, 2023"
Tomás Domingos,€500k,Right-Back,"May 1, 1999 (23)",Portugal,"1,75m",right,"Jul 1, 2022","Jun 30, 2025"
Calila,€300k,Right-Back,"Oct 10, 1998 (24)",Portugal,"1,80m",right,"Aug 19, 2022","Jun 30, 2025"
Pierre Sagna,€250k,Right-Back,"Aug 21, 1990 (32)",Senegal,"1,83m",right,"Jan 30, 2020","Jun 30, 2024"
Kento Misao,€1.60m,Defensive Midfield,"Apr 16, 1996 (26)",Japan,"1,81m",right,"Jan 1, 2023","Jun 30, 2024"
Bobsin,€1.00m,Defensive Midfield,"Jan 12, 2000 (23)",Brazil,"1,84m",left,"Jul 18, 2022","Jun 30, 2025"
Adriano Firmino,€600k,Defensive Midfield,"Nov 4, 1999 (23)",Brazil,"1,87m",right,"Aug 7, 2022","Jun 30, 2027"
Anderson Carvalho,€300k,Defensive Midfield,"May 20, 1990 (32)",Brazil,"1,74m",right,"Jul 26, 2018","Jun 30, 2023"
Bruno Jordão,€1.60m,Central Midfield,"Oct 12, 1998 (24)",Portugal,"1,80m",right,"Aug 23, 2022","Jun 30, 2023"
Rildo,€1.00m,Attacking Midfield,"Jan 21, 2000 (23)",Brazil,"1,78m",both,"Jul 25, 2022","Jun 30, 2027"
Bruno Almeida,€450k,Attacking Midfield,"Sep 9, 1996 (26)",Portugal,"1,72m",left,"Aug 10, 2022","Jun 30, 2023"
MT,€450k,Attacking Midfield,"Mar 1, 2001 (22)",Brazil,"1,85m",left,"Aug 24, 2022","Jun 30, 2023"
Costinha,€400k,Attacking Midfield,"Aug 25, 1992 (30)",Portugal,"1,70m",right,"Jan 1, 2020","Jun 30, 2023"
Filip Stevanovic,€2.00m,Left Winger,"Sep 25, 2002 (20)",Serbia,"1,77m",right,"Aug 31, 2022","Jun 30, 2023"
Ricardinho,€800k,Left Winger,"Aug 6, 1998 (24)",Portugal,"1,68m",right,"Aug 25, 2019","Jun 30, 2025"
Allano,€400k,Left Winger,"Apr 24, 1995 (27)",Brazil,"1,82m",left,"Jan 11, 2021","Jun 30, 2024"
Gabriel Silva,€2.50m,Right Winger,"Mar 22, 2002 (21)",Brazil,"1,77m",right,"Jul 18, 2022","Jun 30, 2023"
Andrezinho,€200k,Right Winger,"Dec 1, 1996 (26)",Portugal,"1,74m",right,"Jul 26, 2022","Jun 30, 2024"
André Mesquita,€100k,Right Winger,"Oct 10, 1997 (25)",Portugal,"1,70m",left,"Aug 14, 2020","Jun 30, 2023"
Matheus Babi,€1.50m,Centre-Forward,"Jul 18, 1997 (25)",Brazil,"1,91m",right,"Aug 22, 2022","Jun 30, 2023"
Kyosuke Tagawa,€800k,Centre-Forward,"Feb 11, 1999 (24)",Japan,"1,81m",left,"Jan 18, 2022","Jun 30, 2023"
Walter González,€350k,Centre-Forward,"May 21, 1995 (27)",Paraguay,"1,85m",right,"Jan 26, 2023","Jun 30, 2023"
Bruno Varela,€4.00m,Goalkeeper,"Nov 4, 1994 (28)",Portugal,"1,91m",right,"Aug 19, 2020","Jun 30, 2024"
Celton Biai,€500k,Goalkeeper,"Aug 13, 2000 (22)",Portugal,"1,88m",right,"Jul 1, 2022","Jun 30, 2024"
Rafa,-,Goalkeeper,"Sep 28, 2003 (19)",Portugal,"1,93m",right,-,"Jun 30, 2023"
André Amaro,€5.00m,Centre-Back,"Aug 13, 2002 (20)",Portugal,"1,88m",right,"Mar 16, 2021","Jun 30, 2025"
Ibrahima Bamba,€5.00m,Centre-Back,"Apr 22, 2002 (20)",Italy,"1,85m",right,"Feb 1, 2022","Jun 30, 2026"
Mikel Villanueva,€1.50m,Centre-Back,"Apr 14, 1993 (29)",Venezuela,"1,92m",left,"Jul 1, 2022","Jun 30, 2025"
Jorge Fernandes,€1.50m,Centre-Back,"Apr 2, 1997 (26)",Portugal,"1,91m",right,"Aug 4, 2020","Jun 30, 2025"
Mamadou Tounkara,€400k,Centre-Back,"Dec 14, 2001 (21)",France,"1,92m",right,"Jul 1, 2022","Jun 30, 2025"
Afonso Freitas,€1.00m,Left-Back,"Apr 7, 2000 (22)",Portugal,"1,81m",left,"Jul 1, 2022","Jun 30, 2025"
Ryoya Ogawa,€700k,Left-Back,"Nov 24, 1996 (26)",Japan,"1,83m",left,"Jul 1, 2022","Jun 30, 2023"
Hélder Sá,€600k,Left-Back,"Nov 10, 2002 (20)",Portugal,"1,87m",left,"Jul 1, 2021","Jun 30, 2025"
Maga,€2.00m,Right-Back,"Nov 16, 2002 (20)",Portugal,"1,75m",right,"Jan 1, 2022","Jun 30, 2027"
Zé Carlos,€1.00m,Right-Back,"Oct 30, 2001 (21)",Portugal,"1,72m",right,"Aug 25, 2022","Jun 30, 2023"
Bruno Gaspar,€500k,Right-Back,"Apr 21, 1993 (29)",Angola,"1,80m",right,"Jan 31, 2022","Jun 30, 2026"
Tomás Händel,€2.50m,Defensive Midfield,"Nov 27, 2000 (22)",Portugal,"1,80m",left,"Jul 1, 2021","Jun 30, 2026"
Manu,€600k,Defensive Midfield,"Jun 12, 2001 (21)",Portugal,"1,90m",right,"Jan 31, 2023","Jun 30, 2027"
Matheus Índio,€500k,Defensive Midfield,"Aug 27, 1999 (23)",Brazil,"1,82m",right,"Jul 1, 2022","Jun 30, 2025"
Dani Silva,€1.00m,Central Midfield,"Apr 11, 2000 (22)",Portugal,"1,80m",right,"Jul 1, 2022","Jun 30, 2027"
André André,€800k,Central Midfield,"Aug 26, 1989 (33)",Portugal,"1,74m",right,"Jul 4, 2018","Jun 30, 2024"
Nicolas Janvier,€800k,Central Midfield,"Aug 11, 1998 (24)",France,"1,72m",right,"Jul 1, 2020","Jun 30, 2024"
Gonçalo Nogueira,€300k,Central Midfield,"Dec 28, 2003 (19)",Portugal,"1,80m",right,"Jan 1, 2023","Jun 30, 2027"
Tiago Silva,€1.50m,Attacking Midfield,"Jun 2, 1993 (29)",Portugal,"1,72m",right,"Aug 7, 2021","Jun 30, 2026"
Jota Silva,€1.00m,Left Winger,"Aug 1, 1999 (23)",Portugal,"1,79m",right,"Jul 1, 2022","Jun 30, 2025"
Nélson Luz,€1.00m,Left Winger,"Feb 4, 1998 (25)",Angola,"1,83m",left,"Jan 1, 2022","Jun 30, 2025"
Mikey Johnston,€800k,Left Winger,"Apr 19, 1999 (23)",Ireland,"1,76m",right,"Sep 1, 2022","Jun 30, 2023"
Rúben Lameiras,€1.00m,Right Winger,"Dec 22, 1994 (28)",Portugal,"1,74m",left,"Jan 8, 2021","Jun 30, 2024"
André Silva,€2.00m,Centre-Forward,"Jun 3, 1997 (25)",Brazil,"1,81m",left,"Jul 15, 2022","Jun 30, 2026"
Anderson Silva,€1.50m,Centre-Forward,"Nov 21, 1997 (25)",Brazil,"1,86m",right,"Jul 1, 2022","Jun 30, 2025"
Alisson Safira,€500k,Centre-Forward,"Mar 17, 1995 (28)",Brazil,"1,85m",right,"Sep 1, 2022","Jun 30, 2025"
Luiz Júnior,€4.00m,Goalkeeper,"Jan 14, 2001 (22)",Brazil,"1,92m",left,"Nov 1, 2020","Jun 30, 2027"
Ivan Zlobin,€300k,Goalkeeper,"Mar 7, 1997 (26)",Russia,"1,91m",right,"Aug 22, 2020","Jun 30, 2025"
Penetra,€3.00m,Centre-Back,"Sep 9, 2001 (21)",Portugal,"1,86m",right,"Aug 1, 2021","Jun 30, 2026"
Riccieli,€2.00m,Centre-Back,"Sep 17, 1998 (24)",Brazil,"1,84m",right,"Jul 23, 2019","Jun 30, 2027"
Enea Mihaj,€1.50m,Centre-Back,"Jul 5, 1998 (24)",Albania,"1,86m",right,"Aug 15, 2022","Jun 30, 2025"
Diogo Queirós,€500k,Centre-Back,"Jan 5, 1999 (24)",Portugal,"1,85m",right,"Oct 6, 2020","Jun 30, 2023"
Francisco Moura,€3.00m,Left-Back,"Aug 16, 1999 (23)",Portugal,"1,81m",left,"Aug 23, 2022","Jun 30, 2023"
Rúben Lima,€200k,Left-Back,"Oct 3, 1989 (33)",Portugal,"1,77m",left,"Jul 3, 2021","Jun 30, 2024"
Martín Aguirregabiria,€2.00m,Right-Back,"May 10, 1996 (26)",Spain,"1,80m",right,"Jul 18, 2022","Jun 30, 2025"
Gustavo Assunção,€3.00m,Defensive Midfield,"Mar 30, 2000 (23)",Brazil,"1,78m",right,"Jul 1, 2019","Jun 30, 2025"
Santiago Colombatto,€3.00m,Defensive Midfield,"Jan 17, 1997 (26)",Argentina,"1,80m",left,"Aug 2, 2022","Jun 30, 2023"
Pelé,€800k,Defensive Midfield,"Sep 29, 1991 (31)",Guinea-Bissau,"1,82m",right,"Aug 5, 2022","Jun 30, 2023"
André Simões,€300k,Defensive Midfield,"Dec 16, 1989 (33)",Portugal,"1,77m",right,"Jul 1, 2022","Jun 30, 2025"
Zaydou Youssouf,€3.00m,Central Midfield,"Jul 11, 1999 (23)",France,"1,82m",left,"Aug 4, 2022","Jun 30, 2026"
Iván Jaime,€1.50m,Attacking Midfield,"Sep 26, 2000 (22)",Spain,"1,80m",right,"Sep 23, 2020","Jun 30, 2025"
Pedro Brazão,€1.50m,Attacking Midfield,"Dec 30, 2002 (20)",Portugal,"1,78m",left,"Aug 18, 2021","Jun 30, 2026"
Gustavo Sá,€1.00m,Attacking Midfield,"Nov 11, 2004 (18)",Portugal,"1,86m",right,"Jul 1, 2022","Jun 30, 2027"
David Tavares,€300k,Attacking Midfield,"Mar 19, 1999 (24)",Cape Verde,"1,90m",left,"Jul 1, 2021","Jun 30, 2026"
Puma,€1.50m,Left Winger,"Jun 19, 1998 (24)",Panama,"1,80m",left,"Aug 15, 2022","Jun 30, 2026"
Alexandru Dobre,€1.20m,Left Winger,"Aug 30, 1998 (24)",Romania,"1,85m",both,"Jan 8, 2023","Jun 30, 2023"
Ivo Rodrigues,€1.50m,Right Winger,"Mar 30, 1995 (28)",Portugal,"1,80m",right,"Jan 15, 2021","Jun 30, 2024"
Junior Kadile,€600k,Right Winger,"Dec 16, 2002 (20)",France,"1,82m",right,"Jul 15, 2022","Jun 30, 2023"
Leandro Sanca,€400k,Right Winger,"Jan 4, 2000 (23)",Portugal,"1,84m",right,"Jan 13, 2023","Jun 30, 2023"
Théo Fonseca,€200k,Right Winger,"Jun 11, 2000 (22)",Portugal,"1,78m",right,"Jul 1, 2022","Jun 30, 2025"
Jhonder Cádiz,€1.50m,Centre-Forward,"Jul 29, 1995 (27)",Venezuela,"1,90m",right,"Jan 31, 2022","Jun 30, 2023"
Rui Fonte,€600k,Centre-Forward,"Apr 23, 1990 (32)",Portugal,"1,80m",right,"Jul 1, 2022","Jun 30, 2024"
Deni Júnior,€600k,Centre-Forward,"Jul 18, 1995 (27)",Brazil,"1,88m",right,"Jan 30, 2023","Jun 30, 2024"
Pablo,€500k,Centre-Forward,"Jan 2, 2004 (19)",Brazil,"1,84m",right,"Jan 1, 2023","Jun 30, 2027"
Paulo Vítor,€200k,Goalkeeper,"Nov 21, 1988 (34)",Brazil,"1,95m",right,"Aug 6, 2020","Jun 30, 2023"
Rodrigo Moura,€200k,Goalkeeper,"Jan 25, 1996 (27)",Brazil,"1,98m",right,"Jul 1, 2022","Jun 30, 2023"
Gonçalo Pinto,€100k,Goalkeeper,"Apr 30, 2000 (22)",Portugal,"1,94m",right,"Aug 18, 2022","Jun 30, 2023"
Nélson Monte,€800k,Centre-Back,"Jul 20, 1995 (27)",Portugal,"1,87m",right,"Jul 5, 2022","Jun 30, 2023"
Ponck,€400k,Centre-Back,"Jan 13, 1995 (28)",Cape Verde,"1,85m",right,"Sep 1, 2022","Jun 30, 2023"
Edu,€200k,Centre-Back,"May 27, 2002 (20)",Portugal,"1,85m",right,"Jul 1, 2022","Jun 30, 2024"
João Queirós,€150k,Centre-Back,"Apr 22, 1998 (24)",Portugal,"1,92m",left,"Aug 19, 2021","Jun 30, 2023"
Steven Vitória,€100k,Centre-Back,"Jan 11, 1987 (36)",Canada,"1,95m",right,"Jul 4, 2022","Jun 30, 2023"
Guilherme,€100k,Centre-Back,"Oct 21, 2000 (22)",Brazil,"1,91m",left,"Aug 22, 2022","Jun 30, 2027"
Bruno Langa,€700k,Left-Back,"Oct 31, 1997 (25)",Mozambique,"1,78m",left,"Jul 1, 2021","Jun 30, 2024"
Euller,€600k,Left-Back,"Jan 4, 1995 (28)",Brazil,"1,75m",left,"Jul 19, 2022","Jun 30, 2023"
Sandro Cruz,€400k,Left-Back,"May 12, 2001 (21)",Portugal,"1,82m",left,"Jul 23, 2022","Jun 30, 2023"
João Correia,€750k,Right-Back,"Sep 5, 1996 (26)",Cape Verde,"1,75m",right,"Aug 3, 2020","Jun 30, 2025"
Habib Sylla,€100k,Right-Back,"Feb 12, 1999 (24)",Cote d'Ivoire,"1,78m",right,"Jul 1, 2022","Jun 30, 2025"
Sidy Sarr,€700k,Defensive Midfield,"Jun 5, 1996 (26)",Senegal,"1,96m",left,"Sep 15, 2022","Jun 30, 2023"
Guima,€400k,Defensive Midfield,"Nov 14, 1995 (27)",Portugal,"1,81m",right,"Aug 3, 2021","Jun 30, 2023"
Nwankwo Obiora,€175k,Defensive Midfield,"Jul 12, 1991 (31)",Nigeria,"1,87m",right,"Jul 20, 2021","Jun 30, 2023"
João Pedro,€600k,Central Midfield,"Apr 3, 1993 (30)",Portugal,"1,77m",right,"Jan 20, 2023","Jun 30, 2023"
