name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Lukas Hradecky,€2.50m,Goalkeeper,"Nov 24, 1989 (33)",Finland,"1,92m",right,"Jul 1, 2018","Jun 30, 2026"
Patrick Pentz,€1.50m,Goalkeeper,"Jan 2, 1997 (26)",Austria,"1,82m",left,"Jan 27, 2023","Jun 30, 2025"
Andrey Lunev,€1.50m,Goalkeeper,"Nov 13, 1991 (31)",Russia,"1,90m",right,"Jul 10, 2021","Jun 30, 2023"
Niklas Lomb,€250k,Goalkeeper,"Jul 28, 1993 (29)",Germany,"1,86m",right,"Jul 1, 2012","Jun 30, 2024"
Edmond Tapsoba,€30.00m,Centre-Back,"Feb 2, 1999 (24)",Burkina Faso,"1,94m",right,"Jan 31, 2020","Jun 30, 2026"
Piero Hincapié,€25.00m,Centre-Back,"Jan 9, 2002 (21)",Ecuador,"1,83m",left,"Aug 16, 2021","Jun 30, 2027"
Jonathan Tah,€20.00m,Centre-Back,"Feb 11, 1996 (27)",Germany,"1,95m",right,"Jul 16, 2015","Jun 30, 2025"
Odilon Kossounou,€20.00m,Centre-Back,"Jan 4, 2001 (22)",Cote d'Ivoire,"1,91m",right,"Jul 22, 2021","Jun 30, 2026"
Mitchel Bakker,€9.00m,Left-Back,"Jun 20, 2000 (22)",Netherlands,"1,85m",left,"Jul 12, 2021","Jun 30, 2025"
Daley Sinkgraven,€3.00m,Left-Back,"Jul 4, 1995 (27)",Netherlands,"1,79m",left,"Jul 1, 2019","Jun 30, 2023"
Jeremie Frimpong,€35.00m,Right-Back,"Dec 10, 2000 (22)",Netherlands,"1,71m",right,"Jan 27, 2021","Jun 30, 2025"
Timothy Fosu-Mensah,€3.00m,Right-Back,"Jan 2, 1998 (25)",Netherlands,"1,85m",right,"Jan 13, 2021","Jun 30, 2024"
Robert Andrich,€11.00m,Defensive Midfield,"Sep 22, 1994 (28)",Germany,"1,87m",right,"Aug 16, 2021","Jun 30, 2026"
Noah Mbamba,€3.00m,Defensive Midfield,"Jan 5, 2005 (18)",Belgium,"1,87m",right,"Jan 14, 2023","Jun 30, 2028"
Ayman Azhil,€400k,Defensive Midfield,"Apr 10, 2001 (21)",Morocco,"1,75m",,"Jul 1, 2020","Jun 30, 2023"
Joshua Eze,€200k,Defensive Midfield,"Mar 20, 2003 (20)",Germany,"1,83m",right,"Jul 1, 2022","Jun 30, 2024"
Exequiel Palacios,€15.00m,Central Midfield,"Oct 5, 1998 (24)",Argentina,"1,77m",right,"Jan 1, 2020","Jun 30, 2025"
Kerem Demirbay,€9.00m,Central Midfield,"Jul 3, 1993 (29)",Germany,"1,83m",left,"Jul 1, 2019","Jun 30, 2024"
Nadiem Amiri,€6.00m,Central Midfield,"Oct 27, 1996 (26)",Germany,"1,80m",right,"Jul 30, 2019","Jun 30, 2024"
Florian Wirtz,€85.00m,Attacking Midfield,"May 3, 2003 (19)",Germany,"1,76m",right,"Jul 1, 2020","Jun 30, 2027"
Callum Hudson-Odoi,€17.00m,Left Winger,"Nov 7, 2000 (22)",England,"1,77m",right,"Aug 30, 2022","Jun 30, 2023"
Moussa Diaby,€50.00m,Right Winger,"Jul 7, 1999 (23)",France,"1,70m",left,"Jul 1, 2019","Jun 30, 2025"
Amine Adli,€15.00m,Right Winger,"May 10, 2000 (22)",France,"1,74m",left,"Aug 26, 2021","Jun 30, 2026"
Karim Bellarabi,€2.50m,Right Winger,"Apr 8, 1990 (32)",Germany,"1,84m",right,"Jul 1, 2011","Jun 30, 2023"
Patrik Schick,€30.00m,Centre-Forward,"Jan 24, 1996 (27)",Czech Republic,"1,91m",left,"Sep 8, 2020","Jun 30, 2027"
Adam Hlozek,€15.00m,Centre-Forward,"Jul 25, 2002 (20)",Czech Republic,"1,88m",right,"Jul 1, 2022","Jun 30, 2027"
Sardar Azmoun,€12.00m,Centre-Forward,"Jan 1, 1995 (28)",Iran,"1,86m",both,"Jan 30, 2022","Jun 30, 2027"
