name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Manuel Riemann,€1.20m,Goalkeeper,"Sep 9, 1988 (34)",Germany,"1,86m",right,"Jul 1, 2015","Jun 30, 2025"
Marko Johansson,€500k,Goalkeeper,"Aug 25, 1998 (24)",Sweden,"1,94m",right,"Sep 1, 2022","Jun 30, 2023"
Michael Esser,€400k,Goalkeeper,"Nov 22, 1987 (35)",Germany,"1,98m",right,"Jul 1, 2021","Jun 30, 2024"
Paul Grave,€100k,Goalkeeper,"Apr 10, 2001 (21)",Germany,"1,93m",right,"Mar 2, 2019",-
Erhan Masovic,€5.00m,Centre-Back,"Nov 22, 1998 (24)",Serbia,"1,89m",both,"Oct 5, 2020","Jun 30, 2025"
Ivan Ordets,€3.50m,Centre-Back,"Jul 8, 1992 (30)",Ukraine,"1,95m",right,"Jul 10, 2022","Jun 30, 2023"
Keven Schlotterbeck,€3.00m,Centre-Back,"Apr 28, 1997 (25)",Germany,"1,89m",left,"Jan 2, 2023","Jun 30, 2023"
Dominique Heintz,€1.50m,Centre-Back,"Aug 15, 1993 (29)",Germany,"1,88m",left,"Aug 11, 2022","Jun 30, 2023"
Vasilios Lampropoulos,€500k,Centre-Back,"Mar 31, 1990 (33)",Greece,"1,85m",right,"Aug 14, 2020","Jun 30, 2023"
Mohammed Tolba,€200k,Centre-Back,"Jul 19, 2004 (18)",Germany,"1,85m",right,"Jul 1, 2022","Jun 30, 2025"
Danilo Soares,€2.20m,Left-Back,"Oct 29, 1991 (31)",Brazil,"1,70m",left,"Jul 1, 2017","Jun 30, 2024"
Konstantinos Stafylidis,€1.80m,Left-Back,"Dec 2, 1993 (29)",Greece,"1,78m",left,"Jul 6, 2022","Jun 30, 2023"
Jordi Osei-Tutu,€1.50m,Right-Back,"Oct 2, 1998 (24)",England,"1,76m",right,"Jul 1, 2022","Jun 30, 2025"
Saidy Janko,€1.00m,Right-Back,"Oct 22, 1995 (27)",The Gambia,"1,81m",right,"Jul 1, 2022","Jun 30, 2023"
Cristian Gamboa,€700k,Right-Back,"Oct 24, 1989 (33)",Costa Rica,"1,75m",right,"Aug 27, 2019","Jun 30, 2024"
Jacek Goralski,€1.00m,Defensive Midfield,"Sep 21, 1992 (30)",Poland,"1,72m",right,"Jul 1, 2022","Jun 30, 2024"
Anthony Losilla,€500k,Defensive Midfield,"Mar 10, 1986 (37)",France,"1,85m",right,"Jul 1, 2014","Jun 30, 2024"
Patrick Osterhage,€2.00m,Central Midfield,"Feb 1, 2000 (23)",Germany,"1,86m",left,"Jul 1, 2021","Jun 30, 2026"
Pierre Kunde,€2.00m,Central Midfield,"Jul 26, 1995 (27)",Cameroon,"1,80m",right,"Jan 6, 2023","Jun 30, 2023"
Kevin Stöger,€2.50m,Attacking Midfield,"Aug 27, 1993 (29)",Austria,"1,75m",left,"Jul 1, 2022","Jun 30, 2024"
Philipp Förster,€2.50m,Attacking Midfield,"Feb 4, 1995 (28)",Germany,"1,88m",left,"Jul 1, 2022","Jun 30, 2024"
Gerrit Holtmann,€3.50m,Left Winger,"Mar 25, 1995 (28)",Philippines,"1,85m",left,"Aug 24, 2020","Jun 30, 2025"
Christopher Antwi-Adjei,€1.80m,Left Winger,"Feb 7, 1994 (29)",Ghana,"1,74m",right,"Jul 1, 2021","Jun 30, 2024"
Takuma Asano,€4.00m,Right Winger,"Nov 10, 1994 (28)",Japan,"1,73m",right,"Jul 1, 2021","Jun 30, 2024"
Philipp Hofmann,€2.50m,Centre-Forward,"Mar 30, 1993 (30)",Germany,"1,95m",left,"Jul 1, 2022","Jun 30, 2024"
Simon Zoller,€1.10m,Centre-Forward,"Jun 26, 1991 (31)",Germany,"1,79m",right,"Jan 1, 2019","Jun 30, 2024"
Silvère Ganvoula,€750k,Centre-Forward,"Jun 29, 1996 (26)",Congo,"1,91m",right,"Jul 5, 2019","Jun 30, 2023"
Moritz Broschinski,€500k,Centre-Forward,"Sep 23, 2000 (22)",Germany,"1,90m",right,"Jan 22, 2023","Jun 30, 2026"
