name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Robin Zentner,€5.00m,Goalkeeper,"Oct 28, 1994 (28)",Germany,"1,95m",right,"Jul 1, 2014","Jun 30, 2025"
Finn Dahmen,€1.00m,Goalkeeper,"Mar 27, 1998 (25)",Germany,"1,88m",right,"Jul 1, 2018","Jun 30, 2023"
Lasse Rieß,€200k,Goalkeeper,"Jul 27, 2001 (21)",Germany,"1,91m",right,"Jul 1, 2021","Jun 30, 2025"
Maxim Leitsch,€3.50m,Centre-Back,"May 18, 1998 (24)",Germany,"1,89m",left,"Jul 1, 2022","Jun 30, 2026"
Andreas Hanche-Olsen,€3.50m,Centre-Back,"Jan 17, 1997 (26)",Norway,"1,85m",right,"Jan 13, 2023","Jun 30, 2026"
Stefan Bell,€2.50m,Centre-Back,"Aug 24, 1991 (31)",Germany,"1,92m",right,"Jul 1, 2010","Jun 30, 2024"
Alexander Hack,€2.50m,Centre-Back,"Sep 8, 1993 (29)",Germany,"1,93m",left,"Nov 30, 2015","Jun 30, 2024"
Philipp Schulz,€300k,Centre-Back,"May 25, 2005 (17)",Germany,"1,92m",right,"Jul 1, 2022","Jun 30, 2025"
Anthony Caci,€8.50m,Left-Back,"Jul 1, 1997 (25)",France,"1,84m",right,"Jul 1, 2022","Jun 30, 2026"
Aarón Martín,€7.00m,Left-Back,"Apr 22, 1997 (25)",Spain,"1,80m",left,"Jul 1, 2019","Jun 30, 2023"
Silvan Widmer,€5.00m,Right-Back,"Mar 5, 1993 (30)",Switzerland,"1,83m",right,"Jul 9, 2021","Jun 30, 2024"
Danny da Costa,€2.00m,Right-Back,"Jul 13, 1993 (29)",Germany,"1,87m",right,"Jul 1, 2022","Jun 30, 2025"
Anton Stach,€15.00m,Defensive Midfield,"Nov 15, 1998 (24)",Germany,"1,94m",both,"Jul 31, 2021","Jun 30, 2024"
Leandro Barreiro,€10.00m,Central Midfield,"Jan 3, 2000 (23)",Luxembourg,"1,74m",right,"Jul 1, 2018","Jun 30, 2024"
Dominik Kohr,€4.00m,Central Midfield,"Jan 31, 1994 (29)",Germany,"1,83m",right,"Jul 1, 2022","Jun 30, 2026"
Edimilson Fernandes,€3.00m,Central Midfield,"Apr 15, 1996 (26)",Switzerland,"1,90m",right,"Jul 1, 2019","Jun 30, 2026"
Aymen Barkok,€1.50m,Central Midfield,"May 21, 1998 (24)",Morocco,"1,89m",right,"Jul 1, 2022","Jun 30, 2025"
Eniss Shabani,€200k,Central Midfield,"May 29, 2003 (19)",Germany,"1,80m",right,"Jul 1, 2022","Jun 30, 2025"
Jae-sung Lee,€4.00m,Attacking Midfield,"Aug 10, 1992 (30)","Korea, South","1,80m",left,"Jul 8, 2021","Jun 30, 2024"
Delano Burgzorg,€2.00m,Left Winger,"Nov 7, 1998 (24)",Netherlands,"1,86m",right,"Jul 1, 2022","Jun 30, 2025"
Brajan Gruda,€500k,Right Winger,"May 31, 2004 (18)",Germany,"1,78m",left,"Nov 18, 2022","Jun 30, 2023"
Jonathan Burkardt,€12.00m,Centre-Forward,"Jul 11, 2000 (22)",Germany,"1,83m",right,"Jul 1, 2018","Jun 30, 2024"
Ludovic Ajorque,€9.00m,Centre-Forward,"Feb 25, 1994 (29)",France,"1,96m",left,"Jan 24, 2023","Jun 30, 2026"
Marcus Ingvartsen,€4.50m,Centre-Forward,"Jan 4, 1996 (27)",Denmark,"1,87m",left,"Jul 1, 2022","Jun 30, 2025"
Karim Onisiwo,€3.50m,Centre-Forward,"Mar 17, 1992 (31)",Austria,"1,88m",right,"Jan 5, 2016","Jun 30, 2024"
Nelson Weiper,€2.50m,Centre-Forward,"Mar 17, 2005 (18)",Germany,"1,92m",right,"Jul 1, 2022","Jun 30, 2025"
Marlon Mustapha,€1.00m,Centre-Forward,"May 24, 2001 (21)",Austria,"1,85m",right,"Jul 1, 2020","Jun 30, 2024"
